MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION*,,,,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),(g/km)
2001,CHEVROLET,CAMARO,SUBCOMPACT,3.8,6,A4,X,13.7,8.5,11.4,25,262
2001,CHEVROLET,CAMARO,SUBCOMPACT,3.8,6,M5,X,13.8,8.3,11.4,25,262
2001,CHEVROLET,CAMARO,SUBCOMPACT,5.7,8,A4,Z,14.7,10.3,12.7,22,292
2001,CHEVROLET,CAMARO,SUBCOMPACT,5.7,8,M6,Z,13.9,9.5,11.9,24,274
2001,CHEVROLET,CAVALIER,COMPACT,2.2,4,A4,X,11.7,8.5,10.2,28,235
2001,CHEVROLET,CAVALIER,COMPACT,2.2,4,M5,X,12.2,8.1,10.4,27,239
2001,CHEVROLET,CAVALIER,COMPACT,2.4,4,A4,X,12.9,9.0,11.1,25,255
2001,CHEVROLET,CAVALIER,COMPACT,2.4,4,M5,X,12.7,8.2,10.7,26,246
2001,CHEVROLET,CAVALIER BI-FUEL,COMPACT,2.2,4,A4,X,11.7,8.5,10.2,28,235
2001,CHEVROLET,CORVETTE,TWO-SEATER,5.7,8,A4,Z,14.7,10.2,12.7,22,292
2001,CHEVROLET,CORVETTE,TWO-SEATER,5.7,8,M6,Z,13.9,9.4,11.9,24,274
2001,CHEVROLET,G15/G25 CHEVY VAN,VAN - CARGO,4.3,6,A4,X,17.7,13.9,16.0,18,368
2001,CHEVROLET,G15/G25 CHEVY VAN,VAN - CARGO,5.0,8,A4,X,18.7,14.6,16.9,17,389
2001,CHEVROLET,G15/G25 CHEVY VAN,VAN - CARGO,5.7,8,A4,X,19.3,14.9,17.3,16,398
2001,CHEVROLET,G1500/G2500 CHEVY EXPRESS,VAN - PASSENGER,4.3,6,A4,X,18.3,14.3,16.5,17,380
2001,CHEVROLET,G1500/G2500 CHEVY EXPRESS,VAN - PASSENGER,5.0,8,A4,X,18.7,14.6,16.9,17,389
2001,CHEVROLET,G1500/G2500 CHEVY EXPRESS,VAN - PASSENGER,5.7,8,A4,X,19.9,15.0,17.7,16,407
2001,CHEVROLET,IMPALA,FULL-SIZE,3.4,6,A4,X,12.5,8.0,10.4,27,239
2001,CHEVROLET,IMPALA,FULL-SIZE,3.8,6,A4,X,14.3,8.8,11.8,24,271
2001,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.3,6,A4,X,17.2,12.8,15.2,19,350
2001,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.3,6,M5,X,18.7,14.5,16.8,17,386
2001,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.8,8,A4,X,17.1,13.6,15.5,18,357
2001,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.8,8,M5,X,20.3,14.7,17.8,16,409
2001,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,5.3,8,A4,X,18.0,14.5,16.4,17,377
2001,CHEVROLET,K1500 SUBURBAN 4X4,SUV,5.3,8,A4,X,19.1,15.4,17.5,16,403
2001,CHEVROLET,K1500 TAHOE 4X4,SUV,4.8,8,A4,X,17.1,13.6,15.5,18,357
2001,CHEVROLET,K1500 TAHOE 4X4,SUV,5.3,8,A4,X,18.9,15.0,17.2,16,396
2001,CHEVROLET,MALIBU,MID-SIZE,3.1,6,A4,X,13.0,9.0,11.2,25,258
2001,CHEVROLET,MONTE CARLO,MID-SIZE,3.4,6,A4,X,12.5,8.0,10.4,27,239
2001,CHEVROLET,MONTE CARLO,MID-SIZE,3.8,6,A4,X,14.3,8.8,11.8,24,271
2001,CHEVROLET,S10,PICKUP TRUCK - SMALL,4.3,6,A4,X,15.4,11.4,13.6,21,313
2001,CHEVROLET,S10,PICKUP TRUCK - SMALL,4.3,6,M5,X,17.0,12.2,14.9,19,343
2001,CHEVROLET,S10 4X4,PICKUP TRUCK - STANDARD,4.3,6,A4,X,18.2,14.5,16.5,17,380
2001,CHEVROLET,S10 4X4,PICKUP TRUCK - STANDARD,4.3,6,M5,X,18.6,14.3,16.7,17,384
2001,CHEVROLET,S10 FFV,PICKUP TRUCK - SMALL,2.2,4,A4,X,14.2,10.1,12.3,23,283
2001,CHEVROLET,S10 FFV,PICKUP TRUCK - SMALL,2.2,4,A4,E,19.6,14.3,17.2,16,275
2001,CHEVROLET,S10 FFV,PICKUP TRUCK - SMALL,2.2,4,M5,X,13.0,9.3,11.3,25,260
2001,CHEVROLET,S10 FFV,PICKUP TRUCK - SMALL,2.2,4,M5,E,17.3,12.9,15.3,18,245
2001,CHEVROLET,TRACKER CONVERTIBLE 4X4,SUV,1.6,4,M5,X,10.5,9.0,9.9,29,228
2001,CHEVROLET,TRACKER CONVERTIBLE 4X4,SUV,2.0,4,A4,X,11.7,9.9,10.9,26,251
2001,CHEVROLET,TRACKER CONVERTIBLE 4X4,SUV,2.0,4,M5,X,11.9,9.9,11.0,26,253
2001,CHEVROLET,TRACKER VAN 4X4,SUV,2.0,4,A4,X,11.7,9.8,10.9,26,251
2001,CHEVROLET,TRACKER VAN 4X4,SUV,2.0,4,M5,X,11.9,9.9,11.0,26,253
2001,CHEVROLET,VENTURE,MINIVAN,3.4,6,A4,X,13.8,9.8,12.0,24,276
2001,CHRYSLER,300M,FULL-SIZE,3.5,6,AS4,X,14.7,9.9,12.5,23,288
2001,CHRYSLER,CONCORDE,FULL-SIZE,2.7,6,A4,X,13.4,9.3,11.5,25,265
2001,CHRYSLER,CONCORDE,FULL-SIZE,3.2,6,A4,X,14.2,9.5,12.1,23,278
2001,CHRYSLER,INTREPID,FULL-SIZE,2.7,6,A4,X,13.4,9.3,11.5,25,265
2001,CHRYSLER,INTREPID,FULL-SIZE,2.7,6,AS4,X,13.3,9.0,11.4,25,262
2001,CHRYSLER,INTREPID,FULL-SIZE,3.2,6,AS4,X,14.2,9.5,12.1,23,278
2001,CHRYSLER,INTREPID,FULL-SIZE,3.5,6,AS4,X,14.7,9.9,12.5,23,288
2001,CHRYSLER,LHS,FULL-SIZE,3.5,6,A4,X,14.7,9.8,12.5,23,288
2001,CHRYSLER,NEON,COMPACT,2.0,4,A3,X,11.3,8.3,10.0,28,230
2001,CHRYSLER,NEON,COMPACT,2.0,4,M5,X,9.9,7.8,8.9,32,205
2001,CHRYSLER,NEON R/T #,COMPACT,2.0,4,M5,X,10.5,8.0,9.4,30,216
2001,CHRYSLER,PT CRUISER,SUV,2.4,4,A4,X,13.4,10.2,12.0,24,276
2001,CHRYSLER,PT CRUISER,SUV,2.4,4,M5,X,13.2,9.8,11.7,24,269
2001,CHRYSLER,SEBRING,MID-SIZE,2.4,4,A4,X,13.2,8.3,11.0,26,253
2001,CHRYSLER,SEBRING,MID-SIZE,2.7,6,A4,X,13.4,9.3,11.5,25,265
2001,CHRYSLER,SEBRING,MID-SIZE,2.7,6,AS4,X,13.3,9.0,11.4,25,262
2001,CHRYSLER,SEBRING CONVERTIBLE,COMPACT,2.7,6,A4,X,13.4,9.3,11.5,25,265
2001,CHRYSLER,SEBRING CONVERTIBLE,COMPACT,2.7,6,AS4,X,13.3,9.0,11.4,25,262
2001,CHRYSLER,SEBRING COUPE,COMPACT,2.4,4,A4,X,13.0,9.4,11.4,25,262
2001,CHRYSLER,SEBRING COUPE,COMPACT,3.0,6,A4,X,13.8,9.5,11.9,24,274
2001,CHRYSLER,SEBRING COUPE,COMPACT,3.0,6,AS4,X,13.8,9.6,11.9,24,274
2001,CHRYSLER,SEBRING COUPE,COMPACT,3.0,6,M5,X,13.1,9.1,11.3,25,260
2001,CHRYSLER,TOWN & COUNTRY,MINIVAN,3.3,6,A4,X,14.9,10.6,13.0,22,299
2001,CHRYSLER,TOWN & COUNTRY,MINIVAN,3.8,6,A4,X,15.3,10.9,13.3,21,306
2001,CHRYSLER,TOWN & COUNTRY AWD,MINIVAN,3.8,6,A4,X,15.6,11.3,13.7,21,315
2001,DAEWOO,LANOS,COMPACT,1.5,4,A4,X,11.3,7.1,9.4,30,216
2001,DAEWOO,LANOS,COMPACT,1.5,4,M5,X,10.3,7.1,8.9,32,205
2001,DAEWOO,LANOS,COMPACT,1.6,4,A4,X,11.6,7.6,9.8,29,225
2001,DAEWOO,LANOS,COMPACT,1.6,4,M5,X,10.4,7.2,9.0,31,207
2001,DAEWOO,LEGANZA,MID-SIZE,2.2,4,A4,X,13.4,9.3,11.5,25,265
2001,DAEWOO,LEGANZA,MID-SIZE,2.2,4,M5,X,13.1,8.8,11.2,25,258
2001,DAEWOO,NUBIRA,COMPACT,2.0,4,A4,X,12.0,8.5,10.4,27,239
2001,DAEWOO,NUBIRA,COMPACT,2.0,4,M5,X,11.9,8.2,10.3,27,237
2001,DAEWOO,NUBIRA WAGON,STATION WAGON - SMALL,2.0,4,A4,X,12.0,8.5,10.4,27,239
2001,DAEWOO,NUBIRA WAGON,STATION WAGON - SMALL,2.0,4,M5,X,11.9,8.2,10.3,27,237
2001,DODGE,CARAVAN,MINIVAN,3.3,6,A4,X,14.9,10.6,13.0,22,299
2001,DODGE,DAKOTA,PICKUP TRUCK - STANDARD,3.9,6,A4,X,16.8,12.6,14.9,19,343
2001,DODGE,DAKOTA,PICKUP TRUCK - STANDARD,3.9,6,M5,X,17.7,11.9,15.1,19,347
2001,DODGE,DAKOTA,PICKUP TRUCK - STANDARD,3.9,6,M5,X,18.0,12.0,15.3,18,352
2001,DODGE,DAKOTA,PICKUP TRUCK - STANDARD,4.7,8,A4,X,18.4,13.0,16.0,18,368
2001,DODGE,DAKOTA,PICKUP TRUCK - STANDARD,4.7,8,M5,X,17.9,12.5,15.4,18,354
2001,DODGE,DAKOTA,PICKUP TRUCK - STANDARD,5.9,8,A4,X,20.7,14.7,18.0,16,414
2001,DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,3.9,6,A4,X,18.1,13.9,16.2,17,373
2001,DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,3.9,6,M5,X,18.1,12.8,15.7,18,361
2001,DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,4.7,8,A4,X,19.6,13.9,17.0,17,391
2001,DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,4.7,8,M5,X,18.6,13.6,16.4,17,377
2001,DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,5.9,8,A4,X,21.6,15.0,18.6,15,428
2001,DODGE,DAKOTA 4X4,PICKUP TRUCK - STANDARD,5.9,8,A4,X,21.9,15.0,18.8,15,432
2001,DODGE,DURANGO 4X4,SUV,4.7,8,A4,X,20.2,14.3,17.5,16,403
2001,DODGE,DURANGO 4X4,SUV,5.9,8,A4,X,21.6,15.0,18.6,15,428
2001,DODGE,DURANGO 5.9 R/T 4X4 #,SUV,5.9,8,A4,Z,21.6,15.0,18.6,15,428
2001,DODGE,GRAND CARAVAN,MINIVAN,3.3,6,A4,X,14.9,10.6,13.0,22,299
2001,DODGE,GRAND CARAVAN,MINIVAN,3.8,6,A4,X,15.3,10.9,13.3,21,306
2001,DODGE,GRAND CARAVAN,MINIVAN,3.8,6,AS4,X,15.3,10.7,13.3,21,306
2001,DODGE,GRAND CARAVAN AWD,MINIVAN,3.8,6,A4,X,15.6,11.3,13.7,21,315
2001,DODGE,GRAND CARAVAN AWD,MINIVAN,3.8,6,AS4,X,15.9,11.2,13.8,20,317
2001,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,3.9,6,A4,X,17.0,12.7,15.1,19,347
2001,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,3.9,6,A4,X,16.9,12.9,15.1,19,347
2001,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,3.9,6,M5,X,18.2,12.3,15.6,18,359
2001,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,3.9,6,M5,X,17.7,12.2,15.2,19,350
2001,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,5.2,8,A4,X,20.1,13.9,17.3,16,398
2001,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,5.2,8,A4,X,20.0,13.7,17.2,16,396
2001,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,5.2,8,M5,X,20.2,13.4,17.1,17,393
2001,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,5.9,8,A4,X,21.4,14.6,18.3,15,421
2001,DODGE,RAM 1500,PICKUP TRUCK - STANDARD,5.9,8,A4,X,21.4,13.9,18.0,16,414
2001,DODGE,RAM 1500 4X4,PICKUP TRUCK - STANDARD,5.2,8,A4,X,21.6,15.5,18.9,15,435
2001,DODGE,RAM 1500 4X4,PICKUP TRUCK - STANDARD,5.2,8,M5,X,22.1,15.3,19.1,15,439
2001,DODGE,RAM 1500 4X4,PICKUP TRUCK - STANDARD,5.9,8,A4,X,21.6,14.6,18.5,15,426
2001,DODGE,RAM 1500 VAN,VAN - CARGO,3.9,6,A3,X,17.8,15.3,16.7,17,384
2001,DODGE,RAM 1500 VAN,VAN - CARGO,5.2,8,A4,X,20.0,13.8,17.2,16,396
2001,DODGE,RAM 1500 VAN,VAN - CARGO,5.9,8,A4,X,21.5,14.6,18.4,15,423
2001,DODGE,RAM 1500 WAGON,VAN - PASSENGER,3.9,6,A3,X,18.9,15.4,17.4,16,400
2001,DODGE,RAM 1500 WAGON,VAN - PASSENGER,5.2,8,A4,X,20.0,13.8,17.2,16,396
2001,DODGE,RAM 2500 VAN,VAN - CARGO,3.9,6,A3,X,18.9,15.4,17.4,16,400
2001,DODGE,RAM 2500 VAN,VAN - CARGO,5.2,8,A4,X,20.0,13.8,17.2,16,396
2001,DODGE,RAM 2500 VAN,VAN - CARGO,5.9,8,A4,X,21.5,14.6,18.4,15,423
2001,DODGE,RAM 2500 VAN CNG,VAN - CARGO,5.2,8,A4,N,20.8,16.3,18.8,15,355
2001,DODGE,RAM 2500 WAGON,VAN - PASSENGER,5.2,8,A4,X,21.4,15.8,18.9,15,435
2001,DODGE,RAM 2500 WAGON,VAN - PASSENGER,5.9,8,A4,X,21.6,14.5,18.4,15,423
2001,DODGE,RAM 2500 WAGON CNG,VAN - PASSENGER,5.2,8,A4,N,21.4,16.1,19.0,15,359
2001,DODGE,VIPER GTS,TWO-SEATER,8.0,10,M6,Z,23.0,12.3,18.2,16,419
2001,DODGE,VIPER RT/10,TWO-SEATER,8.0,10,M6,Z,23.0,12.3,18.2,16,419
2001,FORD,COUGAR,COMPACT,2.5,6,A4,X,13.3,8.9,11.3,25,260
2001,FORD,COUGAR,COMPACT,2.5,6,M5,X,12.9,8.6,10.9,26,251
2001,FORD,CROWN VICTORIA,FULL-SIZE,4.6,8,A4,X,14.9,10.2,12.8,22,294
2001,FORD,CROWN VICTORIA NGV,FULL-SIZE,4.6,8,A4,N,17.3,11.1,14.5,19,274
2001,FORD,E150 CLUB WAGON,VAN - PASSENGER,4.2,6,A4,X,18.0,13.0,15.8,18,363
2001,FORD,E150 CLUB WAGON,VAN - PASSENGER,4.6,8,A4,X,18.1,12.9,15.8,18,363
2001,FORD,E150 CLUB WAGON,VAN - PASSENGER,5.4,8,A4,X,20.2,15.0,17.9,16,412
2001,FORD,E150 VAN,VAN - CARGO,4.2,6,A4,X,18.0,13.0,15.8,18,363
2001,FORD,E150 VAN,VAN - CARGO,4.6,8,A4,X,16.7,12.3,14.7,19,338
2001,FORD,E150 VAN,VAN - CARGO,5.4,8,A4,X,17.9,13.3,15.8,18,363
2001,FORD,E250 VAN,VAN - CARGO,4.2,6,A4,X,18.0,13.0,15.8,18,363
2001,FORD,E250 VAN,VAN - CARGO,5.4,8,A4,X,20.8,16.1,18.7,15,430
2001,FORD,E250 VAN NGV,VAN - CARGO,5.4,8,A4,N,22.1,17.4,20.0,14,378
2001,FORD,ESCAPE,SUV,2.0,4,M5,X,11.4,9.1,10.4,27,239
2001,FORD,ESCAPE,SUV,3.0,6,A4,X,14.7,10.5,12.8,22,294
2001,FORD,ESCAPE 4X4,SUV,2.0,4,M5,X,12.0,9.8,11.0,26,253
2001,FORD,ESCAPE 4X4,SUV,3.0,6,A4,X,15.0,10.9,13.1,22,301
2001,FORD,EX SPORT 4X4,SUV,4.0,6,A5,X,17.4,13.1,15.5,18,357
2001,FORD,EX SPORT TRAC,PICKUP TRUCK - STANDARD,4.0,6,A5,X,16.7,12.5,14.8,19,340
2001,FORD,EX SPORT TRAC,PICKUP TRUCK - STANDARD,4.0,6,M5,X,15.3,12.1,13.9,20,320
2001,FORD,EX SPORT TRAC 4X4,PICKUP TRUCK - STANDARD,4.0,6,A5,X,17.4,13.1,15.5,18,357
2001,FORD,EX SPORT TRAC 4X4,PICKUP TRUCK - STANDARD,4.0,6,M5,X,16.3,12.9,14.8,19,340
2001,FORD,EXPEDITION 4X4,SUV,4.6,8,A4,X,18.7,13.9,16.6,17,382
2001,FORD,EXPEDITION 4X4,SUV,5.4,8,A4,X,21.2,15.3,18.5,15,426
2001,FORD,EXPLORER 4X4,SUV,4.0,6,A5,X,17.4,13.1,15.5,18,357
2001,FORD,EXPLORER 4X4,SUV,5.0,8,A4,X,18.6,13.3,16.2,17,373
2001,FORD,F150,PICKUP TRUCK - STANDARD,4.2,6,A4,X,16.4,12.6,14.7,19,338
2001,FORD,F150,PICKUP TRUCK - STANDARD,4.2,6,M5,X,16.2,12.6,14.6,19,336
2001,FORD,F150,PICKUP TRUCK - STANDARD,4.6,8,A4,X,16.7,12.5,14.8,19,340
2001,FORD,F150,PICKUP TRUCK - STANDARD,4.6,8,M5,X,17.2,13.3,15.4,18,354
2001,FORD,F150,PICKUP TRUCK - STANDARD,5.4,8,A4,X,17.9,13.3,15.8,18,363
2001,FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.2,6,A4,X,17.1,13.4,15.4,18,354
2001,FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.2,6,M5,X,17.2,13.5,15.5,18,357
2001,FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.6,8,A4,X,17.3,13.7,15.7,18,361
2001,FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.6,8,M5,X,18.4,13.9,16.4,17,377
2001,FORD,F150 4X4,PICKUP TRUCK - STANDARD,5.4,8,A4,X,19.3,15.0,17.3,16,398
2001,FORD,FOCUS,COMPACT,2.0,4,A4,X,10.5,7.9,9.3,30,214
2001,FORD,FOCUS,COMPACT,2.0,4,M5,X,9.6,7.2,8.5,33,196
2001,FORD,FOCUS #,COMPACT,2.0,4,A4,X,10.9,8.2,9.7,29,223
2001,FORD,FOCUS #,COMPACT,2.0,4,M5,X,10.9,7.9,9.5,30,219
2001,FORD,FOCUS WAGON,STATION WAGON - MID-SIZE,2.0,4,A4,X,10.5,7.9,9.3,30,214
2001,FORD,FOCUS WAGON,STATION WAGON - MID-SIZE,2.0,4,M5,X,9.6,7.2,8.5,33,196
2001,FORD,FOCUS WAGON #,STATION WAGON - MID-SIZE,2.0,4,A4,X,10.9,8.2,9.7,29,223
2001,FORD,FOCUS WAGON #,STATION WAGON - MID-SIZE,2.0,4,M5,X,10.9,7.9,9.5,30,219
2001,FORD,GRAND MARQUIS,FULL-SIZE,4.6,8,A4,X,14.9,10.2,12.8,22,294
2001,FORD,MUSTANG,SUBCOMPACT,3.8,6,A4,X,13.8,9.6,11.9,24,274
2001,FORD,MUSTANG,SUBCOMPACT,3.8,6,M5,X,13.7,8.9,11.6,24,267
2001,FORD,MUSTANG,SUBCOMPACT,4.6,8,A4,X,14.8,10.3,12.8,22,294
2001,FORD,MUSTANG,SUBCOMPACT,4.6,8,M5,X,15.0,10.3,12.9,22,297
2001,FORD,MUSTANG #,SUBCOMPACT,4.6,8,M5,Z,15.5,10.3,13.2,21,304
2001,FORD,RANGER,PICKUP TRUCK - STANDARD,3.0,6,A5,X,16.0,12.0,14.2,20,327
2001,FORD,RANGER,PICKUP TRUCK - STANDARD,3.0,6,M5,X,15.2,11.3,13.5,21,311
2001,FORD,RANGER,PICKUP TRUCK - STANDARD,4.0,6,A5,X,15.9,12.0,14.1,20,324
2001,FORD,RANGER,PICKUP TRUCK - STANDARD,4.0,6,M5,X,15.3,12.0,13.8,20,317
2001,FORD,RANGER 4X4,PICKUP TRUCK - STANDARD,3.0,6,A5,X,17.4,13.5,15.7,18,361
2001,FORD,RANGER 4X4,PICKUP TRUCK - STANDARD,3.0,6,M5,X,15.7,12.6,14.3,20,329
2001,FORD,RANGER 4X4,PICKUP TRUCK - STANDARD,4.0,6,A5,X,17.3,13.5,15.6,18,359
2001,FORD,RANGER 4X4,PICKUP TRUCK - STANDARD,4.0,6,M5,X,16.9,13.1,15.2,19,350
2001,FORD,TAURUS,MID-SIZE,3.0,6,A4,X,14.6,9.5,12.3,23,283
2001,FORD,TAURUS #,MID-SIZE,3.0,6,A4,X,13.5,9.5,11.7,24,269
2001,FORD,TAURUS WAGON,STATION WAGON - MID-SIZE,3.0,6,A4,X,14.9,9.8,12.6,22,290
2001,FORD,TAURUS WAGON #,STATION WAGON - MID-SIZE,3.0,6,A4,X,14.3,9.9,12.3,23,283
2001,FORD,WINDSTAR WAGON,MINIVAN,3.8,6,A4,X,14.9,10.7,13.0,22,299
2001,GMC,C1500 SIERRA,PICKUP TRUCK - STANDARD,4.3,6,A4,X,16.0,11.8,14.1,20,324
2001,GMC,C1500 SIERRA,PICKUP TRUCK - STANDARD,4.3,6,M5,X,17.1,12.7,15.1,19,347
2001,GMC,C1500 SIERRA,PICKUP TRUCK - STANDARD,4.8,8,A4,X,17.0,12.7,15.1,19,347
2001,GMC,C1500 SIERRA,PICKUP TRUCK - STANDARD,4.8,8,M5,X,18.6,12.8,16.0,18,368
2001,GMC,C1500 SIERRA,PICKUP TRUCK - STANDARD,5.3,8,A4,X,17.6,13.7,15.8,18,363
2001,GMC,C1500 YUKON,SUV,4.8,8,A4,X,17.6,12.9,15.5,18,357
2001,GMC,C1500 YUKON,SUV,5.3,8,A4,X,18.7,14.9,17.0,17,391
2001,GMC,C1500 YUKON XL,SUV,5.3,8,A4,X,18.7,14.9,17.0,17,391
2001,GMC,G15/G25 SAVANA CARGO,VAN - CARGO,4.3,6,A4,X,17.8,13.9,16.0,18,368
2001,GMC,G15/G25 SAVANA CARGO,VAN - CARGO,5.0,8,A4,X,18.7,14.6,16.9,17,389
2001,GMC,G15/G25 SAVANA CARGO,VAN - CARGO,5.7,8,A4,X,19.3,14.9,17.3,16,398
2001,GMC,G1500/G2500 SAVANA PASSENGER,VAN - PASSENGER,4.3,6,A4,X,18.3,14.3,16.5,17,380
2001,GMC,G1500/G2500 SAVANA PASSENGER,VAN - PASSENGER,5.0,8,A4,X,18.7,14.6,16.9,17,389
2001,GMC,G1500/G2500 SAVANA PASSENGER,VAN - PASSENGER,5.7,8,A4,X,19.9,15.0,17.7,16,407
2001,GMC,JIMMY,SUV,4.3,6,A4,X,15.4,11.4,13.6,21,313
2001,GMC,JIMMY,SUV,4.3,6,M5,X,17.0,12.2,14.9,19,343
2001,GMC,JIMMY 4X4,SUV,4.3,6,A4,X,17.2,12.8,15.2,19,350
2001,GMC,JIMMY 4X4,SUV,4.3,6,M5,X,18.7,14.5,16.8,17,386
2001,GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,4.3,6,A4,X,17.2,12.8,15.2,19,350
2001,GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,4.3,6,M5,X,18.7,14.5,16.8,17,386
2001,GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,4.8,8,A4,X,17.1,13.6,15.5,18,357
2001,GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,4.8,8,M5,X,20.3,14.7,17.8,16,409
2001,GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,5.3,8,A4,X,18.0,14.5,16.4,17,377
2001,GMC,K1500 SIERRA 4X4,PICKUP TRUCK - STANDARD,6.0,8,A4,X,23.2,18.0,20.8,14,478
2001,GMC,K1500 YUKON 4X4,SUV,4.8,8,A4,X,18.9,14.6,17.0,17,391
2001,GMC,K1500 YUKON 4X4,SUV,5.3,8,A4,X,19.1,15.4,17.5,16,403
2001,GMC,K1500 YUKON 4X4,SUV,6.0,8,A4,X,22.4,16.3,19.7,14,453
2001,GMC,K1500 YUKON XL 4X4,SUV,5.3,8,A4,X,19.1,15.4,17.5,16,403
2001,GMC,K1500 YUKON XL 4X4,SUV,6.0,8,A4,X,22.4,16.3,19.7,14,453
2001,GMC,SAFARI CARGO,VAN - CARGO,4.3,6,A4,X,15.4,11.4,13.6,21,313
2001,GMC,SAFARI CARGO AWD,VAN - CARGO,4.3,6,A4,X,17.2,12.8,15.2,19,350
2001,GMC,SAFARI PASSENGER,VAN - PASSENGER,4.3,6,A4,X,16.0,11.8,14.1,20,324
2001,GMC,SAFARI PASSENGER AWD,VAN - PASSENGER,4.3,6,A4,X,17.9,13.8,16.1,18,370
2001,GMC,SONOMA,PICKUP TRUCK - SMALL,4.3,6,A4,X,15.4,11.4,13.6,21,313
2001,GMC,SONOMA,PICKUP TRUCK - SMALL,4.3,6,M5,X,17.0,11.9,14.7,19,338
2001,GMC,SONOMA 4X4,PICKUP TRUCK - STANDARD,4.3,6,A4,X,18.2,14.5,16.5,17,380
2001,GMC,SONOMA 4X4,PICKUP TRUCK - STANDARD,4.3,6,M5,X,18.6,14.3,16.7,17,384
2001,GMC,SONOMA FFV,PICKUP TRUCK - SMALL,2.2,4,A4,X,14.2,10.1,12.3,23,283
2001,GMC,SONOMA FFV,PICKUP TRUCK - SMALL,2.2,4,A4,E,19.6,14.3,17.2,16,275
2001,GMC,SONOMA FFV,PICKUP TRUCK - SMALL,2.2,4,M5,X,13.0,9.3,11.3,25,260
2001,GMC,SONOMA FFV,PICKUP TRUCK - SMALL,2.2,4,M5,E,17.3,12.9,15.3,18,245
2001,HONDA,ACCORD,MID-SIZE,2.3,4,A4,X,11.8,8.6,10.4,27,239
2001,HONDA,ACCORD,MID-SIZE,2.3,4,M5,X,11.0,8.1,9.7,29,223
2001,HONDA,ACCORD,MID-SIZE,3.0,6,A4,X,13.2,9.0,11.3,25,260
2001,HONDA,CIVIC,COMPACT,1.7,4,A4,X,9.3,7.0,8.2,34,189
2001,HONDA,CIVIC,COMPACT,1.7,4,M5,X,8.6,6.8,7.8,36,179
2001,HONDA,CIVIC Si/Si-G,COMPACT,1.7,4,A4,X,9.3,7.2,8.3,34,191
2001,HONDA,CIVIC Si/Si-G,COMPACT,1.7,4,M5,X,8.9,7.4,8.3,34,191
2001,HONDA,CR-V,SUV,2.0,4,A4,X,12.5,10.5,11.6,24,267
2001,HONDA,CR-V,SUV,2.0,4,M5,X,12.5,10.5,11.6,24,267
2001,HONDA,INSIGHT,TWO-SEATER,1.0,3,M5,X,4.9,4.0,4.5,63,104
2001,HONDA,ODYSSEY,MINIVAN,3.5,6,A4,X,14.9,10.2,12.8,22,294
2001,HONDA,PRELUDE,SUBCOMPACT,2.2,4,AS4,Z,12.7,9.7,11.3,25,260
2001,HONDA,PRELUDE,SUBCOMPACT,2.2,4,M5,Z,12.0,9.6,10.9,26,251
2001,HONDA,S2000,TWO-SEATER,2.0,4,M6,Z,13.2,9.9,11.7,24,269
2001,HYUNDAI,ACCENT,COMPACT,1.5,4,A4,X,10.8,7.4,9.3,30,214
2001,HYUNDAI,ACCENT,COMPACT,1.5,4,M5,X,9.6,7.2,8.5,33,196
2001,HYUNDAI,ACCENT,COMPACT,1.6,4,A4,X,10.8,7.3,9.2,31,212
2001,HYUNDAI,ACCENT,COMPACT,1.6,4,M5,X,10.0,7.0,8.6,33,198
