MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION*,,,,CO2 EMISSIONS ,,
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),(g/km),,
2005,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,3.2,6,AS6,Z,12.3,9.6,11.1,25,255,,
2005,BENTLEY,ARNAGE,MID-SIZE,6.7,8,A4,Z,25.1,17.4,21.6,13,497,,
2005,BENTLEY,ARNAGE LWB,FULL-SIZE,6.7,8,A4,Z,25.1,17.4,21.6,13,497,,
2005,BENTLEY,CONTINENTAL GT,COMPACT,6.0,12,AS5,Z,22.9,14.3,19.0,15,437,,
2005,BMW,320i,COMPACT,2.2,6,A5,Z,13.1,8.8,11.2,25,258,,
2005,BMW,320i,COMPACT,2.2,6,M5,Z,12.8,8.6,10.9,26,251,,
2005,BMW,325Ci,SUBCOMPACT,2.5,6,A5,Z,13.8,9.5,11.9,24,274,,
2005,BMW,325Ci,SUBCOMPACT,2.5,6,AM6,Z,12.0,8.0,10.2,28,235,,
2005,BMW,325Ci,SUBCOMPACT,2.5,6,M5,Z,13.1,8.8,11.2,25,258,,
2005,BMW,325Ci CONVERTIBLE,MINICOMPACT,2.5,6,A5,Z,14.3,9.7,12.2,23,281,,
2005,BMW,325Ci CONVERTIBLE,MINICOMPACT,2.5,6,AM6,Z,12.8,8.7,10.9,26,251,,
2005,BMW,325Ci CONVERTIBLE,MINICOMPACT,2.5,6,M5,Z,14.2,9.5,12.1,23,278,,
2005,BMW,325i,COMPACT,2.5,6,A5,Z,13.8,9.5,11.9,24,274,,
2005,BMW,325i,COMPACT,2.5,6,AM6,Z,12.0,8.0,10.2,28,235,,
2005,BMW,325i,COMPACT,2.5,6,M5,Z,13.1,8.8,11.2,25,258,,
2005,BMW,325i SPORT WAGON,STATION WAGON - SMALL,2.5,6,A5,Z,13.8,9.5,11.9,24,274,,
2005,BMW,325i SPORT WAGON,STATION WAGON - SMALL,2.5,6,AM6,Z,12.0,8.0,10.2,28,235,,
2005,BMW,325i SPORT WAGON,STATION WAGON - SMALL,2.5,6,M5,Z,13.1,8.8,11.2,25,258,,
2005,BMW,325xi,COMPACT,2.5,6,A5,Z,13.7,9.8,12.0,24,276,,
2005,BMW,325xi,COMPACT,2.5,6,M5,Z,13.6,9.5,11.8,24,271,,
2005,BMW,325xi SPORT WAGON,STATION WAGON - SMALL,2.5,6,A5,Z,13.7,9.8,12.0,24,276,,
2005,BMW,325xi SPORT WAGON,STATION WAGON - SMALL,2.5,6,M5,Z,13.9,9.7,12.0,24,276,,
2005,BMW,330Ci,SUBCOMPACT,3.0,6,A5,Z,13.8,9.5,11.9,24,274,,
