MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION*,,,,CO2 EMISSIONS ,,,,
YEAR,,,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),(g/km),,,,
2015,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,AM6,Z,11.7,8.4,10.2,28,235,,,,
2015,AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4,AM6,Z,11.7,8.5,10.2,28,235,,,,
2015,BENTLEY,CONTINENTAL GT,COMPACT,4.0,8,AS8,Z,16.1,9.4,13.1,22,307,,,,
2015,BENTLEY,CONTINENTAL GT,COMPACT,6.0,12,AS8,Z,18.9,11.2,15.4,18,354,,,,
2015,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,4.0,8,AS8,Z,17.7,10.3,14.4,20,337,,,,
2015,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,6.0,12,AS8,Z,19.6,11.7,16.0,18,368,,,,
2015,BENTLEY,CONTINENTAL GT3-R,TWO-SEATER,4.0,8,AS8,Z,17.6,10.1,14.2,20,327,,,,
2015,BENTLEY,FLYING SPUR,MID-SIZE,4.0,8,AS8,Z,17.7,10.0,14.2,20,334,,,,
2015,BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,AS8,Z,20.3,11.9,16.5,17,388,,,,
2015,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3,13.3,18.2,16,419,,,,
2015,BMW,228i CABRIOLET,SUBCOMPACT,2.0,4,AS8,Z,10.4,7.1,8.9,32,205,,,,
2015,BMW,228i COUPE,SUBCOMPACT,2.0,4,AS8,Z,10.0,6.5,8.4,34,193,,,,
2015,BMW,228i COUPE,SUBCOMPACT,2.0,4,M6,Z,10.7,6.9,9.0,31,207,,,,
2015,BMW,228i xDRIVE CABRIOLET,SUBCOMPACT,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,,,,
2015,BMW,228i xDRIVE COUPE,SUBCOMPACT,2.0,4,AS8,Z,10.3,6.7,8.7,32,200,,,,
2015,BMW,320i SEDAN,COMPACT,2.0,4,AS8,Z,10.0,6.5,8.4,34,193,,,,
2015,BMW,320i SEDAN,COMPACT,2.0,4,M6,Z,10.7,6.9,9.0,31,207,,,,
2015,BMW,320i xDRIVE SEDAN,COMPACT,2.0,4,AS8,Z,10.3,6.7,8.7,32,200,,,,
2015,BMW,328d xDRIVE SEDAN,COMPACT,2.0,4,AS8,D,7.6,5.5,6.7,42,181,,,,
2015,BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,AS8,D,7.6,5.5,6.7,42,181,,,,
2015,BMW,328i SEDAN,COMPACT,2.0,4,AS8,Z,10.0,6.5,8.4,34,193,,,,
2015,BMW,328i SEDAN,COMPACT,2.0,4,M6,Z,10.7,6.9,9.0,31,207,,,,
2015,BMW,328i xDRIVE SEDAN,COMPACT,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,,,,
2015,BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,,,,
2015,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,,,,
2015,BMW,335i SEDAN,COMPACT,3.0,6,AS8,Z,11.4,7.4,9.6,29,221,,,,
2015,BMW,335i SEDAN,COMPACT,3.0,6,M6,Z,11.5,7.8,9.8,29,225,,,,
2015,BMW,335i xDRIVE SEDAN,COMPACT,3.0,6,AS8,Z,11.9,7.8,10.0,28,230,,,,
2015,BMW,335i xDRIVE SEDAN,COMPACT,3.0,6,M6,Z,12.0,8.3,10.3,27,237,,,,
2015,BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,AS8,Z,11.9,7.8,10.0,28,230,,,,
2015,BMW,428i CABRIOLET,SUBCOMPACT,2.0,4,AS8,Z,10.4,7.1,8.9,32,205,,,,
2015,BMW,428i COUPE,COMPACT,2.0,4,AS8,Z,10.0,6.5,8.4,34,193,,,,
2015,BMW,428i COUPE,COMPACT,2.0,4,M6,Z,10.7,6.9,9.0,31,207,,,,
2015,BMW,428i GRAN COUPE,COMPACT,2.0,4,AS8,Z,10.4,7.1,8.9,32,205,,,,
2015,BMW,428i GRAN COUPE,COMPACT,2.0,4,M6,Z,10.9,6.8,9.0,31,207,,,,
2015,BMW,428i xDRIVE CABRIOLET,SUBCOMPACT,2.0,4,AS8,Z,11.2,7.5,9.6,29,221,,,,
2015,BMW,428i xDRIVE COUPE,COMPACT,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,,,,
2015,BMW,428i xDRIVE GRAN COUPE,COMPACT,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,,,,
2015,BMW,435i CABRIOLET,SUBCOMPACT,3.0,6,AS8,Z,11.8,7.6,9.9,29,228,,,,
2015,BMW,435i COUPE,COMPACT,3.0,6,AS8,Z,11.4,7.4,9.6,29,221,,,,
2015,BMW,435i COUPE,COMPACT,3.0,6,M6,Z,11.5,7.8,9.8,29,225,,,,
2015,BMW,435i GRAN COUPE,COMPACT,3.0,6,AS8,Z,11.4,7.4,9.6,29,221,,,,
2015,BMW,435i xDRIVE CABRIOLET,SUBCOMPACT,3.0,6,AS8,Z,12.1,8.1,10.3,27,237,,,,
2015,BMW,435i xDRIVE COUPE,COMPACT,3.0,6,AS8,Z,11.9,7.8,10.0,28,230,,,,
2015,BMW,435i xDRIVE COUPE,COMPACT,3.0,6,M6,Z,12.0,8.3,10.3,27,237,,,,
2015,BMW,435i xDRIVE GRAN COUPE,COMPACT,3.0,6,AS8,Z,11.9,7.8,10.0,28,230,,,,
2015,BMW,528i SEDAN,MID-SIZE,2.0,4,AS8,Z,10.4,7.1,8.9,32,205,,,,
2015,BMW,528i xDRIVE SEDAN,MID-SIZE,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,,,,
2015,BMW,535d xDRIVE SEDAN,MID-SIZE,3.0,6,AS8,D,9.2,6.3,7.9,36,213,,,,
2015,BMW,535i xDRIVE SEDAN,MID-SIZE,3.0,6,AS8,Z,12.1,8.1,10.3,27,237,,,,
2015,BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,AS8,Z,12.8,8.9,11.0,26,253,,,,
2015,BMW,550i xDRIVE SEDAN,MID-SIZE,4.4,8,AS8,Z,14.4,9.7,12.3,23,283,,,,
2015,BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,,,,
2015,BMW,640i xDRIVE CABRIOLET,SUBCOMPACT,3.0,6,AS8,Z,12.1,8.1,10.3,27,237,,,,
2015,BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,AS8,Z,12.1,8.1,10.3,27,237,,,,
2015,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,,,,
2015,BMW,650i xDRIVE COUPE,COMPACT,4.4,8,AS8,Z,14.4,9.7,12.3,23,283,,,,
2015,BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,,,,
2015,BMW,740Ld xDRIVE SEDAN,FULL-SIZE,3.0,6,AS8,D,10.2,7.1,8.8,32,238,,,,
2015,BMW,740Li xDRIVE SEDAN,FULL-SIZE,3.0,6,AS8,Z,12.1,8.1,10.3,27,237,,,,
2015,BMW,750i xDRIVE SEDAN,FULL-SIZE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,,,,
2015,BMW,750Li xDRIVE SEDAN,FULL-SIZE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,,,,
2015,BMW,760Li SEDAN,FULL-SIZE,6.0,12,AS8,Z,18.7,11.6,15.5,18,356,,,,
2015,BMW,ACTIVEHYBRID 3,COMPACT,3.0,6,AS8,Z,9.7,7.5,8.7,32,200,,,,
2015,BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6,AS8,Z,10.6,7.9,9.4,30,216,,,,
2015,BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6,AS8,Z,10.6,7.7,9.3,30,214,,,,
2015,BMW,ALPINA B6 xDRIVE GRAN COUPE,COMPACT,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,,,,
2015,BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,,,,
2015,BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,AS8,Z,15.2,9.8,12.8,22,294,,,,
2015,BMW,M235i CABRIOLET,SUBCOMPACT,3.0,6,AS8,Z,11.8,8.1,10.2,28,235,,,,
2015,BMW,M235i CABRIOLET,SUBCOMPACT,3.0,6,M6,Z,12.3,9.0,10.8,26,248,,,,
2015,BMW,M235i COUPE,SUBCOMPACT,3.0,6,AS8,Z,11.8,8.1,10.2,28,235,,,,
2015,BMW,M235i COUPE,SUBCOMPACT,3.0,6,M6,Z,11.9,8.5,10.4,27,239,,,,
2015,BMW,M235i xDRIVE COUPE,SUBCOMPACT,3.0,6,AS8,Z,11.9,7.8,10.0,28,230,,,,
2015,BMW,M3 SEDAN,COMPACT,3.0,6,AM7,Z,14.2,9.6,12.1,23,278,,,,
2015,BMW,M3 SEDAN,COMPACT,3.0,6,M6,Z,13.7,9.0,11.6,24,267,,,,
2015,BMW,M4 CABRIOLET,SUBCOMPACT,3.0,6,AM7,Z,14.1,9.7,12.1,23,278,,,,
2015,BMW,M4 CABRIOLET,SUBCOMPACT,3.0,6,M6,Z,14.1,9.0,11.8,24,271,,,,
2015,BMW,M4 COUPE,COMPACT,3.0,6,AM7,Z,14.1,9.7,12.1,23,278,,,,
2015,BMW,M4 COUPE,COMPACT,3.0,6,M6,Z,13.7,9.0,11.6,24,267,,,,
2015,BMW,M5 SEDAN,MID-SIZE,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,,,,
2015,BMW,M5 SEDAN,MID-SIZE,4.4,8,M6,Z,16.1,10.8,13.7,21,315,,,,
2015,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,,,,
2015,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,16.1,10.8,13.7,21,315,,,,
2015,BMW,M6 COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,,,,
2015,BMW,M6 COUPE,COMPACT,4.4,8,M6,Z,16.1,10.8,13.7,21,315,,,,
2015,BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,,,,
2015,BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,16.1,10.8,13.7,21,315,,,,
2015,BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4,AS8,Z,10.6,7.2,9.1,31,209,,,,
2015,BMW,X1 xDRIVE35i,SUV - SMALL,3.0,6,AS8,Z,13.2,8.9,11.2,25,258,,,,
2015,BMW,X3 xDRIVE28d,SUV - SMALL,2.0,4,AS8,D,8.6,6.9,7.9,36,213,,,,
2015,BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4,AS8,Z,11.1,8.4,9.9,29,228,,,,
2015,BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6,AS8,Z,12.7,8.8,10.9,26,251,,,,
2015,BMW,X4 xDRIVE28i,SUV - SMALL,2.0,4,AS8,Z,11.7,8.4,10.2,28,235,,,,
2015,BMW,X4 xDRIVE35i,SUV - SMALL,3.0,6,AS8,Z,12.7,8.8,10.9,26,251,,,,
2015,BMW,X5 M,SUV - STANDARD,4.4,8,AS8,Z,16.6,12.1,14.6,19,336,,,,
2015,BMW,X5 xDRIVE35d,SUV - STANDARD,3.0,6,AS8,D,9.9,7.2,8.7,32,235,,,,
2015,BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6,AS8,Z,13.0,8.9,11.1,25,255,,,,
2015,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,16.1,10.9,13.8,20,317,,,,
2015,BMW,X6 M,SUV - STANDARD,4.4,8,AS8,Z,16.6,12.1,14.6,19,336,,,,
2015,BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6,AS8,Z,13.0,8.9,11.1,25,255,,,,
2015,BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,16.1,10.9,13.8,20,317,,,,
2015,BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,AS8,Z,10.7,7.1,9.1,31,209,,,,
2015,BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,M6,Z,10.7,6.9,9.0,31,207,,,,
2015,BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,AM7,Z,13.7,10.0,12.1,23,278,,,,
2015,BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,M6,Z,12.7,9.0,11.0,26,253,,,,
2015,BMW,Z4 sDRIVE35is,TWO-SEATER,3.0,6,AM7,Z,13.7,10.0,12.1,23,278,,,,
2015,BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,X,14.2,9.9,12.3,23,283,,,,
2015,BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,22,290,,,,
2015,BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,9.5,7.2,8.5,33,196,,,,
2015,BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,10.2,8.0,9.2,31,212,,,,
2015,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,X,13.7,8.6,11.4,25,262,,,,
2015,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,E,18.7,12.4,15.8,18,253,,,,
2015,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,X,13.9,9.1,11.7,24,269,,,,
2015,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,E,18.6,12.6,15.9,18,254,,,,
2015,BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189,,,,
2015,BUICK,REGAL,MID-SIZE,2.0,4,AS6,Z,11.4,7.9,9.8,29,225,,,,
2015,BUICK,REGAL,MID-SIZE,2.0,4,M6,Z,11.6,7.6,9.8,29,225,,,,
2015,BUICK,REGAL AWD,MID-SIZE,2.0,4,AS6,Z,12.4,8.7,10.7,26,246,,,,
2015,BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189,,,,
2015,BUICK,VERANO,COMPACT,2.0,4,AS6,Z,11.4,7.9,9.8,29,225,,,,
2015,BUICK,VERANO,COMPACT,2.0,4,M6,Z,11.6,7.6,9.8,29,225,,,,
2015,BUICK,VERANO,COMPACT,2.4,4,AS6,X,11.1,7.4,9.4,30,216,,,,
2015,CADILLAC,ATS,COMPACT,2.0,4,AS6,Z,11.1,7.9,9.7,29,223,,,,
2015,CADILLAC,ATS,COMPACT,2.0,4,M6,Z,12.2,7.9,10.3,27,237,,,,
2015,CADILLAC,ATS,COMPACT,2.5,4,AS6,X,11.1,7.2,9.3,30,214,,,,
2015,CADILLAC,ATS,COMPACT,3.6,6,AS6,X,12.8,8.4,10.8,26,248,,,,
2015,CADILLAC,ATS AWD,COMPACT,2.0,4,AS6,Z,11.5,8.5,10.2,28,235,,,,
2015,CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,X,12.8,8.9,11.0,26,253,,,,
2015,CADILLAC,CTS,MID-SIZE,2.0,4,AS6,Z,11.5,7.9,9.9,29,228,,,,
2015,CADILLAC,CTS,MID-SIZE,3.6,6,AS8,X,12.8,8.2,10.7,26,246,,,,
2015,CADILLAC,CTS AWD,MID-SIZE,2.0,4,AS6,Z,12.3,8.5,10.6,27,244,,,,
2015,CADILLAC,CTS AWD,MID-SIZE,3.6,6,AS6,X,12.8,8.9,11.0,26,253,,,,
2015,CADILLAC,CTS Vsport,MID-SIZE,3.6,6,AS8,Z,15.1,9.9,12.7,22,292,,,,
2015,CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8,A6,Z,16.2,11.4,14.0,20,322,,,,
2015,CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8,A8,Z,15.9,11.1,13.8,20,317,,,,
2015,CADILLAC,ESCALADE ESV 4WD,SUV - STANDARD,6.2,8,A6,Z,16.8,11.7,14.5,19,334,,,,
2015,CADILLAC,ESCALADE ESV 4WD,SUV - STANDARD,6.2,8,A8,Z,16.4,11.7,14.3,20,329,,,,
2015,CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,X,14.2,9.8,12.3,23,283,,,,
2015,CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS6,X,14.8,10.4,12.8,22,294,,,,
2015,CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,13.6,8.6,11.3,25,260,,,,
2015,CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,X,13.7,8.9,11.6,24,267,,,,
2015,CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,14.8,9.9,12.6,22,290,,,,
2015,CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,13.3,8.8,11.3,25,260,,,,
2015,CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,14.0,8.4,11.5,25,265,,,,
2015,CHEVROLET,CAMARO,COMPACT,6.2,8,AS6,Z,15.3,9.8,12.8,22,294,,,,
2015,CHEVROLET,CAMARO,COMPACT,6.2,8,M6,Z,15.0,9.9,12.7,22,292,,,,
2015,CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS6,X,12.6,7.9,10.5,27,242,,,,
2015,CHEVROLET,CAMARO Z/28,COMPACT,6.2,8,M6,Z,18.1,12.3,15.5,18,357,,,,
2015,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,Z,19.9,13.0,16.8,17,386,,,,
2015,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,M6,Z,16.6,12.4,14.7,19,338,,,,
2015,CHEVROLET,CITY EXPRESS,SPECIAL PURPOSE VEHICLE,2.0,4,AV,X,9.7,9.0,9.4,30,216,,,,
2015,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4,A6,X,11.9,8.8,10.5,27,242,,,,
2015,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4,M6,X,12.2,9.1,10.8,26,248,,,,
2015,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,3.6,6,A6,X,13.0,9.2,11.3,25,260,,,,
2015,CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.5,4,A6,X,12.7,9.5,11.3,25,260,,,,
2015,CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,3.6,6,A6,X,13.5,9.8,11.8,24,271,,,,
