,REF_DATE,GEO,Type of vehicle,UOM,SCALAR_FACTOR,VALUE
77,1999,Saskatchewan,Buses,Number,units,3853
78,1999,Saskatchewan,Motorcycles and mopeds,Number,units,4788
79,1999,Saskatchewan,Trailers,Number,units,99605
80,1999,Saskatchewan,"Off-road, construction, farm vehicles",Number,units,6605
81,1999,Alberta,"Total, vehicle registrations",Number,units,2813857
82,1999,Alberta,"Total, road motor vehicle registrations",Number,units,2095338
83,1999,Alberta,"Vehicles weighing less than 4,500 kilograms",Number,units,1878151
84,1999,Alberta,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,109683
85,1999,Alberta,"Vehicles weighing 15,000 kilograms or more",Number,units,61907
86,1999,Alberta,Buses,Number,units,11509
87,1999,Alberta,Motorcycles and mopeds,Number,units,34088
88,1999,Alberta,Trailers,Number,units,654803
89,1999,Alberta,"Off-road, construction, farm vehicles",Number,units,63717
90,1999,British Columbia,"Total, vehicle registrations",Number,units,2568823
91,1999,British Columbia,"Total, road motor vehicle registrations",Number,units,2291567
92,1999,British Columbia,"Vehicles weighing less than 4,500 kilograms",Number,units,2185877
93,1999,British Columbia,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,57415
94,1999,British Columbia,"Vehicles weighing 15,000 kilograms or more",Number,units,17286
95,1999,British Columbia,Buses,Number,units,8007
96,1999,British Columbia,Motorcycles and mopeds,Number,units,22982
97,1999,British Columbia,Trailers,Number,units,251923
98,1999,British Columbia,"Off-road, construction, farm vehicles",Number,units,25333
99,1999,Yukon,"Total, vehicle registrations",Number,units,32330
100,1999,Yukon,"Total, road motor vehicle registrations",Number,units,25435
101,1999,Yukon,"Vehicles weighing less than 4,500 kilograms",Number,units,22488
102,1999,Yukon,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,1316
103,1999,Yukon,"Vehicles weighing 15,000 kilograms or more",Number,units,924
104,1999,Yukon,Buses,Number,units,234
105,1999,Yukon,Motorcycles and mopeds,Number,units,473
106,1999,Yukon,Trailers,Number,units,6087
107,1999,Yukon,"Off-road, construction, farm vehicles",Number,units,807
108,1999,Northwest Territories,"Total, vehicle registrations",Number,units,22255
109,1999,Northwest Territories,"Total, road motor vehicle registrations",Number,units,18453
110,1999,Northwest Territories,"Vehicles weighing less than 4,500 kilograms",Number,units,16896
111,1999,Northwest Territories,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,504
112,1999,Northwest Territories,"Vehicles weighing 15,000 kilograms or more",Number,units,682
113,1999,Northwest Territories,Buses,Number,units,65
114,1999,Northwest Territories,Motorcycles and mopeds,Number,units,306
115,1999,Northwest Territories,Trailers,Number,units,2799
116,1999,Northwest Territories,"Off-road, construction, farm vehicles",Number,units,1003
117,1999,Nunavut,"Total, vehicle registrations",Number,units,3948
118,1999,Nunavut,"Total, road motor vehicle registrations",Number,units,2501
119,1999,Nunavut,"Vehicles weighing less than 4,500 kilograms",Number,units,2105
120,1999,Nunavut,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,262
121,1999,Nunavut,"Vehicles weighing 15,000 kilograms or more",Number,units,101
122,1999,Nunavut,Buses,Number,units,11
123,1999,Nunavut,Motorcycles and mopeds,Number,units,22
124,1999,Nunavut,Trailers,Number,units,70
125,1999,Nunavut,"Off-road, construction, farm vehicles",Number,units,1378
126,2000,Canada,"Total, vehicle registrations",Number,units,23627414
127,2000,Canada,"Total, road motor vehicle registrations",Number,units,17882229
128,2000,Canada,"Vehicles weighing less than 4,500 kilograms",Number,units,16832180
129,2000,Canada,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,391285
130,2000,Canada,"Vehicles weighing 15,000 kilograms or more",Number,units,270148
131,2000,Canada,Buses,Number,units,77341
132,2000,Canada,Motorcycles and mopeds,Number,units,311275
133,2000,Canada,Trailers,Number,units,3988863
134,2000,Canada,"Off-road, construction, farm vehicles",Number,units,1756322
135,2000,Newfoundland and Labrador,"Total, vehicle registrations",Number,units,364800
136,2000,Newfoundland and Labrador,"Total, road motor vehicle registrations",Number,units,254672
137,2000,Newfoundland and Labrador,"Vehicles weighing less than 4,500 kilograms",Number,units,242706
138,2000,Newfoundland and Labrador,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,4068
139,2000,Newfoundland and Labrador,"Vehicles weighing 15,000 kilograms or more",Number,units,2860
140,2000,Newfoundland and Labrador,Buses,Number,units,1319
141,2000,Newfoundland and Labrador,Motorcycles and mopeds,Number,units,3719
142,2000,Newfoundland and Labrador,Trailers,Number,units,23926
143,2000,Newfoundland and Labrador,"Off-road, construction, farm vehicles",Number,units,86202
144,2000,Prince Edward Island,"Total, vehicle registrations",Number,units,88574
145,2000,Prince Edward Island,"Total, road motor vehicle registrations",Number,units,78315
146,2000,Prince Edward Island,"Vehicles weighing less than 4,500 kilograms",Number,units,72604
147,2000,Prince Edward Island,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,2061
148,2000,Prince Edward Island,"Vehicles weighing 15,000 kilograms or more",Number,units,2576
149,2000,Prince Edward Island,Buses,Number,units,60
150,2000,Prince Edward Island,Motorcycles and mopeds,Number,units,1014
151,2000,Prince Edward Island,Trailers,Number,units,8587
152,2000,Prince Edward Island,"Off-road, construction, farm vehicles",Number,units,1672
153,2000,Nova Scotia,"Total, vehicle registrations",Number,units,631950
154,2000,Nova Scotia,"Total, road motor vehicle registrations",Number,units,541382
155,2000,Nova Scotia,"Vehicles weighing less than 4,500 kilograms",Number,units,513030
156,2000,Nova Scotia,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,9985
157,2000,Nova Scotia,"Vehicles weighing 15,000 kilograms or more",Number,units,7397
158,2000,Nova Scotia,Buses,Number,units,1854
159,2000,Nova Scotia,Motorcycles and mopeds,Number,units,9116
160,2000,Nova Scotia,Trailers,Number,units,46636
161,2000,Nova Scotia,"Off-road, construction, farm vehicles",Number,units,43932
162,2000,New Brunswick,"Total, vehicle registrations",Number,units,562563
163,2000,New Brunswick,"Total, road motor vehicle registrations",Number,units,457804
164,2000,New Brunswick,"Vehicles weighing less than 4,500 kilograms",Number,units,431284
165,2000,New Brunswick,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,10144
166,2000,New Brunswick,"Vehicles weighing 15,000 kilograms or more",Number,units,4402
167,2000,New Brunswick,Buses,Number,units,2611
168,2000,New Brunswick,Motorcycles and mopeds,Number,units,9364
169,2000,New Brunswick,Trailers,Number,units,64239
170,2000,New Brunswick,"Off-road, construction, farm vehicles",Number,units,40519
171,2000,Quebec,"Total, vehicle registrations",Number,units,6209081
172,2000,Quebec,"Total, road motor vehicle registrations",Number,units,4045409
173,2000,Quebec,"Vehicles weighing less than 4,500 kilograms",Number,units,3835380
174,2000,Quebec,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,51492
175,2000,Quebec,"Vehicles weighing 15,000 kilograms or more",Number,units,32437
176,2000,Quebec,Buses,Number,units,16218
177,2000,Quebec,Motorcycles and mopeds,Number,units,109883
178,2000,Quebec,Trailers,Number,units,1053473
179,2000,Quebec,"Off-road, construction, farm vehicles",Number,units,1110199
180,2000,Ontario,"Total, vehicle registrations",Number,units,8610701
181,2000,Ontario,"Total, road motor vehicle registrations",Number,units,6638943
182,2000,Ontario,"Vehicles weighing less than 4,500 kilograms",Number,units,6344239
183,2000,Ontario,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,80227
184,2000,Ontario,"Vehicles weighing 15,000 kilograms or more",Number,units,103494
185,2000,Ontario,Buses,Number,units,27028
186,2000,Ontario,Motorcycles and mopeds,Number,units,83955
187,2000,Ontario,Trailers,Number,units,1678811
188,2000,Ontario,"Off-road, construction, farm vehicles",Number,units,292947
189,2000,Manitoba,"Total, vehicle registrations",Number,units,780566
190,2000,Manitoba,"Total, road motor vehicle registrations",Number,units,611378
191,2000,Manitoba,"Vehicles weighing less than 4,500 kilograms",Number,units,583721
192,2000,Manitoba,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,9877
193,2000,Manitoba,"Vehicles weighing 15,000 kilograms or more",Number,units,10975
194,2000,Manitoba,Buses,Number,units,3548
195,2000,Manitoba,Motorcycles and mopeds,Number,units,3257
196,2000,Manitoba,Trailers,Number,units,88145
197,2000,Manitoba,"Off-road, construction, farm vehicles",Number,units,81044
198,2000,Saskatchewan,"Total, vehicle registrations",Number,units,815403
199,2000,Saskatchewan,"Total, road motor vehicle registrations",Number,units,706135
200,2000,Saskatchewan,"Vehicles weighing less than 4,500 kilograms",Number,units,619932
201,2000,Saskatchewan,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,50684
202,2000,Saskatchewan,"Vehicles weighing 15,000 kilograms or more",Number,units,25107
203,2000,Saskatchewan,Buses,Number,units,3893
204,2000,Saskatchewan,Motorcycles and mopeds,Number,units,6520
205,2000,Saskatchewan,Trailers,Number,units,102048
206,2000,Saskatchewan,"Off-road, construction, farm vehicles",Number,units,7221
207,2000,Alberta,"Total, vehicle registrations",Number,units,2867408
208,2000,Alberta,"Total, road motor vehicle registrations",Number,units,2150313
209,2000,Alberta,"Vehicles weighing less than 4,500 kilograms",Number,units,1926497
210,2000,Alberta,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,110186
211,2000,Alberta,"Vehicles weighing 15,000 kilograms or more",Number,units,65057
212,2000,Alberta,Buses,Number,units,11905
213,2000,Alberta,Motorcycles and mopeds,Number,units,36669
214,2000,Alberta,Trailers,Number,units,652004
215,2000,Alberta,"Off-road, construction, farm vehicles",Number,units,65091
216,2000,British Columbia,"Total, vehicle registrations",Number,units,2638251
217,2000,British Columbia,"Total, road motor vehicle registrations",Number,units,2351609
218,2000,British Columbia,"Vehicles weighing less than 4,500 kilograms",Number,units,2221457
219,2000,British Columbia,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,60524
220,2000,British Columbia,"Vehicles weighing 15,000 kilograms or more",Number,units,14038
221,2000,British Columbia,Buses,Number,units,8592
222,2000,British Columbia,Motorcycles and mopeds,Number,units,46998
223,2000,British Columbia,Trailers,Number,units,262021
224,2000,British Columbia,"Off-road, construction, farm vehicles",Number,units,24621
225,2000,Yukon,"Total, vehicle registrations",Number,units,30692
226,2000,Yukon,"Total, road motor vehicle registrations",Number,units,23915
227,2000,Yukon,"Vehicles weighing less than 4,500 kilograms",Number,units,21149
228,2000,Yukon,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,1218
229,2000,Yukon,"Vehicles weighing 15,000 kilograms or more",Number,units,891
230,2000,Yukon,Buses,Number,units,230
231,2000,Yukon,Motorcycles and mopeds,Number,units,428
232,2000,Yukon,Trailers,Number,units,5940
233,2000,Yukon,"Off-road, construction, farm vehicles",Number,units,838
234,2000,Northwest Territories,"Total, vehicle registrations",Number,units,23495
235,2000,Northwest Territories,"Total, road motor vehicle registrations",Number,units,19620
236,2000,Northwest Territories,"Vehicles weighing less than 4,500 kilograms",Number,units,17857
237,2000,Northwest Territories,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,570
238,2000,Northwest Territories,"Vehicles weighing 15,000 kilograms or more",Number,units,794
239,2000,Northwest Territories,Buses,Number,units,68
240,2000,Northwest Territories,Motorcycles and mopeds,Number,units,332
241,2000,Northwest Territories,Trailers,Number,units,2961
242,2000,Northwest Territories,"Off-road, construction, farm vehicles",Number,units,915
243,2000,Nunavut,"Total, vehicle registrations",Number,units,3932
244,2000,Nunavut,"Total, road motor vehicle registrations",Number,units,2735
245,2000,Nunavut,"Vehicles weighing less than 4,500 kilograms",Number,units,2326
246,2000,Nunavut,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,251
247,2000,Nunavut,"Vehicles weighing 15,000 kilograms or more",Number,units,121
248,2000,Nunavut,Buses,Number,units,15
249,2000,Nunavut,Motorcycles and mopeds,Number,units,23
250,2000,Nunavut,Trailers,Number,units,74
251,2000,Nunavut,"Off-road, construction, farm vehicles",Number,units,1123
252,2001,Canada,"Total, vehicle registrations",Number,units,23427184
253,2001,Canada,"Total, road motor vehicle registrations",Number,units,18101675
254,2001,Canada,"Vehicles weighing less than 4,500 kilograms",Number,units,17054798
255,2001,Canada,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,387330
256,2001,Canada,"Vehicles weighing 15,000 kilograms or more",Number,units,267129
257,2001,Canada,Buses,Number,units,74086
258,2001,Canada,Motorcycles and mopeds,Number,units,318330
259,2001,Canada,Trailers,Number,units,4023215
260,2001,Canada,"Off-road, construction, farm vehicles",Number,units,1302295
261,2001,Newfoundland and Labrador,"Total, vehicle registrations",Number,units,373013
262,2001,Newfoundland and Labrador,"Total, road motor vehicle registrations",Number,units,253652
263,2001,Newfoundland and Labrador,"Vehicles weighing less than 4,500 kilograms",Number,units,241925
264,2001,Newfoundland and Labrador,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,3959
265,2001,Newfoundland and Labrador,"Vehicles weighing 15,000 kilograms or more",Number,units,2771
266,2001,Newfoundland and Labrador,Buses,Number,units,1290
267,2001,Newfoundland and Labrador,Motorcycles and mopeds,Number,units,3705
268,2001,Newfoundland and Labrador,Trailers,Number,units,24503
269,2001,Newfoundland and Labrador,"Off-road, construction, farm vehicles",Number,units,94858
270,2001,Prince Edward Island,"Total, vehicle registrations",Number,units,77052
271,2001,Prince Edward Island,"Total, road motor vehicle registrations",Number,units,78074
272,2001,Prince Edward Island,"Vehicles weighing less than 4,500 kilograms",Number,units,72559
273,2001,Prince Edward Island,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,1912
274,2001,Prince Edward Island,"Vehicles weighing 15,000 kilograms or more",Number,units,2528
275,2001,Prince Edward Island,Buses,Number,units,53
276,2001,Prince Edward Island,Motorcycles and mopeds,Number,units,1020
277,2001,Prince Edward Island,Trailers,Number,units,8946
278,2001,Prince Edward Island,"Off-road, construction, farm vehicles",Number,units,2190
279,2001,Nova Scotia,"Total, vehicle registrations",Number,units,637005
280,2001,Nova Scotia,"Total, road motor vehicle registrations",Number,units,544407
281,2001,Nova Scotia,"Vehicles weighing less than 4,500 kilograms",Number,units,518472
282,2001,Nova Scotia,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,9732
283,2001,Nova Scotia,"Vehicles weighing 15,000 kilograms or more",Number,units,7021
284,2001,Nova Scotia,Buses,Number,units,1862
285,2001,Nova Scotia,Motorcycles and mopeds,Number,units,7318
286,2001,Nova Scotia,Trailers,Number,units,44957
287,2001,Nova Scotia,"Off-road, construction, farm vehicles",Number,units,47641
288,2001,New Brunswick,"Total, vehicle registrations",Number,units,572023
289,2001,New Brunswick,"Total, road motor vehicle registrations",Number,units,460387
290,2001,New Brunswick,"Vehicles weighing less than 4,500 kilograms",Number,units,433600
291,2001,New Brunswick,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,10299
292,2001,New Brunswick,"Vehicles weighing 15,000 kilograms or more",Number,units,3916
293,2001,New Brunswick,Buses,Number,units,2716
294,2001,New Brunswick,Motorcycles and mopeds,Number,units,9854
295,2001,New Brunswick,Trailers,Number,units,67499
296,2001,New Brunswick,"Off-road, construction, farm vehicles",Number,units,44136
297,2001,Quebec,"Total, vehicle registrations",Number,units,5712216
298,2001,Quebec,"Total, road motor vehicle registrations",Number,units,4073534
299,2001,Quebec,"Vehicles weighing less than 4,500 kilograms",Number,units,3856620
300,2001,Quebec,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,54681
301,2001,Quebec,"Vehicles weighing 15,000 kilograms or more",Number,units,30093
302,2001,Quebec,Buses,Number,units,14903
303,2001,Quebec,Motorcycles and mopeds,Number,units,117235
304,2001,Quebec,Trailers,Number,units,1112862
305,2001,Quebec,"Off-road, construction, farm vehicles",Number,units,525820
306,2001,Ontario,"Total, vehicle registrations",Number,units,8744405
307,2001,Ontario,"Total, road motor vehicle registrations",Number,units,6746578
308,2001,Ontario,"Vehicles weighing less than 4,500 kilograms",Number,units,6443516
309,2001,Ontario,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,80038
310,2001,Ontario,"Vehicles weighing 15,000 kilograms or more",Number,units,102047
311,2001,Ontario,Buses,Number,units,24866
312,2001,Ontario,Motorcycles and mopeds,Number,units,96110
313,2001,Ontario,Trailers,Number,units,1597998
314,2001,Ontario,"Off-road, construction, farm vehicles",Number,units,399829
315,2001,Manitoba,"Total, vehicle registrations",Number,units,800567
316,2001,Manitoba,"Total, road motor vehicle registrations",Number,units,622906
317,2001,Manitoba,"Vehicles weighing less than 4,500 kilograms",Number,units,592211
318,2001,Manitoba,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,9861
319,2001,Manitoba,"Vehicles weighing 15,000 kilograms or more",Number,units,12154
320,2001,Manitoba,Buses,Number,units,3536
321,2001,Manitoba,Motorcycles and mopeds,Number,units,5142
322,2001,Manitoba,Trailers,Number,units,92964
323,2001,Manitoba,"Off-road, construction, farm vehicles",Number,units,84697
324,2001,Saskatchewan,"Total, vehicle registrations",Number,units,802494
325,2001,Saskatchewan,"Total, road motor vehicle registrations",Number,units,692080
326,2001,Saskatchewan,"Vehicles weighing less than 4,500 kilograms",Number,units,613622
327,2001,Saskatchewan,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,46053
328,2001,Saskatchewan,"Vehicles weighing 15,000 kilograms or more",Number,units,24421
329,2001,Saskatchewan,Buses,Number,units,3828
330,2001,Saskatchewan,Motorcycles and mopeds,Number,units,4154
331,2001,Saskatchewan,Trailers,Number,units,103269
332,2001,Saskatchewan,"Off-road, construction, farm vehicles",Number,units,7145
333,2001,Alberta,"Total, vehicle registrations",Number,units,2991433
334,2001,Alberta,"Total, road motor vehicle registrations",Number,units,2229847
335,2001,Alberta,"Vehicles weighing less than 4,500 kilograms",Number,units,1998767
336,2001,Alberta,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,107432
337,2001,Alberta,"Vehicles weighing 15,000 kilograms or more",Number,units,66937
338,2001,Alberta,Buses,Number,units,12323
339,2001,Alberta,Motorcycles and mopeds,Number,units,44386
340,2001,Alberta,Trailers,Number,units,695794
341,2001,Alberta,"Off-road, construction, farm vehicles",Number,units,65792
342,2001,British Columbia,"Total, vehicle registrations",Number,units,2649656
343,2001,British Columbia,"Total, road motor vehicle registrations",Number,units,2357369
344,2001,British Columbia,"Vehicles weighing less than 4,500 kilograms",Number,units,2245015
345,2001,British Columbia,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,61571
346,2001,British Columbia,"Vehicles weighing 15,000 kilograms or more",Number,units,13645
347,2001,British Columbia,Buses,Number,units,8451
348,2001,British Columbia,Motorcycles and mopeds,Number,units,28687
349,2001,British Columbia,Trailers,Number,units,265519
350,2001,British Columbia,"Off-road, construction, farm vehicles",Number,units,26768
351,2001,Yukon,"Total, vehicle registrations",Number,units,26521
352,2001,Yukon,"Total, road motor vehicle registrations",Number,units,19965
353,2001,Yukon,"Vehicles weighing less than 4,500 kilograms",Number,units,17753
354,2001,Yukon,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,989
355,2001,Yukon,"Vehicles weighing 15,000 kilograms or more",Number,units,698
356,2001,Yukon,Buses,Number,units,162
357,2001,Yukon,Motorcycles and mopeds,Number,units,363
358,2001,Yukon,Trailers,Number,units,5720
359,2001,Yukon,"Off-road, construction, farm vehicles",Number,units,836
360,2001,Northwest Territories,"Total, vehicle registrations",Number,units,24015
361,2001,Northwest Territories,"Total, road motor vehicle registrations",Number,units,19800
362,2001,Northwest Territories,"Vehicles weighing less than 4,500 kilograms",Number,units,18089
363,2001,Northwest Territories,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,548
364,2001,Northwest Territories,"Vehicles weighing 15,000 kilograms or more",Number,units,763
365,2001,Northwest Territories,Buses,Number,units,75
366,2001,Northwest Territories,Motorcycles and mopeds,Number,units,323
367,2001,Northwest Territories,Trailers,Number,units,3083
368,2001,Northwest Territories,"Off-road, construction, farm vehicles",Number,units,1132
369,2001,Nunavut,"Total, vehicle registrations",Number,units,4626
370,2001,Nunavut,"Total, road motor vehicle registrations",Number,units,3075
371,2001,Nunavut,"Vehicles weighing less than 4,500 kilograms",Number,units,2645
372,2001,Nunavut,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,251
373,2001,Nunavut,"Vehicles weighing 15,000 kilograms or more",Number,units,129
374,2001,Nunavut,Buses,Number,units,15
375,2001,Nunavut,Motorcycles and mopeds,Number,units,33
376,2001,Nunavut,Trailers,Number,units,102
377,2001,Nunavut,"Off-road, construction, farm vehicles",Number,units,1450
378,2002,Canada,"Total, vehicle registrations",Number,units,24198219
379,2002,Canada,"Total, road motor vehicle registrations",Number,units,18617413
380,2002,Canada,"Vehicles weighing less than 4,500 kilograms",Number,units,17543659
381,2002,Canada,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,366962
382,2002,Canada,"Vehicles weighing 15,000 kilograms or more",Number,units,277339
383,2002,Canada,Buses,Number,units,79364
384,2002,Canada,Motorcycles and mopeds,Number,units,350088
385,2002,Canada,Trailers,Number,units,4161491
386,2002,Canada,"Off-road, construction, farm vehicles",Number,units,1419305
387,2002,Newfoundland and Labrador,"Total, vehicle registrations",Number,units,391844
388,2002,Newfoundland and Labrador,"Total, road motor vehicle registrations",Number,units,261842
389,2002,Newfoundland and Labrador,"Vehicles weighing less than 4,500 kilograms",Number,units,249639
390,2002,Newfoundland and Labrador,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,4037
391,2002,Newfoundland and Labrador,"Vehicles weighing 15,000 kilograms or more",Number,units,2866
392,2002,Newfoundland and Labrador,Buses,Number,units,1313
393,2002,Newfoundland and Labrador,Motorcycles and mopeds,Number,units,3985
