,REF_DATE,GEO,Type of vehicle,UOM,SCALAR_FACTOR,VALUE
662,2004,Nova Scotia,Buses,Number,units,1818
663,2004,Nova Scotia,Motorcycles and mopeds,Number,units,8608
664,2004,Nova Scotia,Trailers,Number,units,49694
665,2004,Nova Scotia,"Off-road, construction, farm vehicles",Number,units,51555
666,2004,New Brunswick,"Total, vehicle registrations",Number,units,586586
667,2004,New Brunswick,"Total, road motor vehicle registrations",Number,units,469468
668,2004,New Brunswick,"Vehicles weighing less than 4,500 kilograms",Number,units,442592
669,2004,New Brunswick,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,7495
670,2004,New Brunswick,"Vehicles weighing 15,000 kilograms or more",Number,units,3953
671,2004,New Brunswick,Buses,Number,units,2743
672,2004,New Brunswick,Motorcycles and mopeds,Number,units,12683
673,2004,New Brunswick,Trailers,Number,units,75713
674,2004,New Brunswick,"Off-road, construction, farm vehicles",Number,units,41404
675,2004,Quebec,"Total, vehicle registrations",Number,units,6353220
676,2004,Quebec,"Total, road motor vehicle registrations",Number,units,4488258
677,2004,Quebec,"Vehicles weighing less than 4,500 kilograms",Number,units,4224895
678,2004,Quebec,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,57024
679,2004,Quebec,"Vehicles weighing 15,000 kilograms or more",Number,units,37273
680,2004,Quebec,Buses,Number,units,16946
681,2004,Quebec,Motorcycles and mopeds,Number,units,152118
682,2004,Quebec,Trailers,Number,units,1285289
683,2004,Quebec,"Off-road, construction, farm vehicles",Number,units,579672
684,2004,Ontario,"Total, vehicle registrations",Number,units,9268476
685,2004,Ontario,"Total, road motor vehicle registrations",Number,units,7015869
686,2004,Ontario,"Vehicles weighing less than 4,500 kilograms",Number,units,6679102
687,2004,Ontario,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,84480
688,2004,Ontario,"Vehicles weighing 15,000 kilograms or more",Number,units,106984
689,2004,Ontario,Buses,Number,units,25667
690,2004,Ontario,Motorcycles and mopeds,Number,units,119633
691,2004,Ontario,Trailers,Number,units,1749847
692,2004,Ontario,"Off-road, construction, farm vehicles",Number,units,502760
693,2004,Manitoba,"Total, vehicle registrations",Number,units,858267
694,2004,Manitoba,"Total, road motor vehicle registrations",Number,units,652802
695,2004,Manitoba,"Vehicles weighing less than 4,500 kilograms",Number,units,616014
696,2004,Manitoba,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,10089
697,2004,Manitoba,"Vehicles weighing 15,000 kilograms or more",Number,units,14702
698,2004,Manitoba,Buses,Number,units,3701
699,2004,Manitoba,Motorcycles and mopeds,Number,units,8294
700,2004,Manitoba,Trailers,Number,units,103242
701,2004,Manitoba,"Off-road, construction, farm vehicles",Number,units,102222
702,2004,Saskatchewan,"Total, vehicle registrations",Number,units,831503
703,2004,Saskatchewan,"Total, road motor vehicle registrations",Number,units,714228
704,2004,Saskatchewan,"Vehicles weighing less than 4,500 kilograms",Number,units,642053
705,2004,Saskatchewan,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,38376
706,2004,Saskatchewan,"Vehicles weighing 15,000 kilograms or more",Number,units,24450
707,2004,Saskatchewan,Buses,Number,units,3798
708,2004,Saskatchewan,Motorcycles and mopeds,Number,units,5549
709,2004,Saskatchewan,Trailers,Number,units,113052
710,2004,Saskatchewan,"Off-road, construction, farm vehicles",Number,units,4223
711,2004,Alberta,"Total, vehicle registrations",Number,units,3272173
712,2004,Alberta,"Total, road motor vehicle registrations",Number,units,2386349
713,2004,Alberta,"Vehicles weighing less than 4,500 kilograms",Number,units,2148694
714,2004,Alberta,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,97289
715,2004,Alberta,"Vehicles weighing 15,000 kilograms or more",Number,units,68929
716,2004,Alberta,Buses,Number,units,12789
717,2004,Alberta,Motorcycles and mopeds,Number,units,58646
718,2004,Alberta,Trailers,Number,units,796309
719,2004,Alberta,"Off-road, construction, farm vehicles",Number,units,89514
720,2004,British Columbia,"Total, vehicle registrations",Number,units,2804072
721,2004,British Columbia,"Total, road motor vehicle registrations",Number,units,2485058
722,2004,British Columbia,"Vehicles weighing less than 4,500 kilograms",Number,units,2343020
723,2004,British Columbia,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,82340
724,2004,British Columbia,"Vehicles weighing 15,000 kilograms or more",Number,units,14986
725,2004,British Columbia,Buses,Number,units,8596
726,2004,British Columbia,Motorcycles and mopeds,Number,units,36115
727,2004,British Columbia,Trailers,Number,units,289149
728,2004,British Columbia,"Off-road, construction, farm vehicles",Number,units,29863
729,2004,Yukon,"Total, vehicle registrations",Number,units,36247
730,2004,Yukon,"Total, road motor vehicle registrations",Number,units,27331
731,2004,Yukon,"Vehicles weighing less than 4,500 kilograms",Number,units,23904
732,2004,Yukon,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,1480
733,2004,Yukon,"Vehicles weighing 15,000 kilograms or more",Number,units,1144
734,2004,Yukon,Buses,Number,units,268
735,2004,Yukon,Motorcycles and mopeds,Number,units,533
736,2004,Yukon,Trailers,Number,units,7857
737,2004,Yukon,"Off-road, construction, farm vehicles",Number,units,1058
738,2004,Northwest Territories,"Total, vehicle registrations",Number,units,26710
739,2004,Northwest Territories,"Total, road motor vehicle registrations",Number,units,21998
740,2004,Northwest Territories,"Vehicles weighing less than 4,500 kilograms",Number,units,19939
741,2004,Northwest Territories,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,605
742,2004,Northwest Territories,"Vehicles weighing 15,000 kilograms or more",Number,units,913
743,2004,Northwest Territories,Buses,Number,units,99
744,2004,Northwest Territories,Motorcycles and mopeds,Number,units,440
745,2004,Northwest Territories,Trailers,Number,units,3607
746,2004,Northwest Territories,"Off-road, construction, farm vehicles",Number,units,1104
747,2004,Nunavut,"Total, vehicle registrations",Number,units,4290
748,2004,Nunavut,"Total, road motor vehicle registrations",Number,units,3329
749,2004,Nunavut,"Vehicles weighing less than 4,500 kilograms",Number,units,2927
750,2004,Nunavut,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,213
751,2004,Nunavut,"Vehicles weighing 15,000 kilograms or more",Number,units,130
752,2004,Nunavut,Buses,Number,units,14
753,2004,Nunavut,Motorcycles and mopeds,Number,units,44
754,2004,Nunavut,Trailers,Number,units,75
755,2004,Nunavut,"Off-road, construction, farm vehicles",Number,units,885
756,2005,Canada,"Total, vehicle registrations",Number,units,25838309
757,2005,Canada,"Total, road motor vehicle registrations",Number,units,19515295
758,2005,Canada,"Vehicles weighing less than 4,500 kilograms",Number,units,18275275
759,2005,Canada,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,415764
760,2005,Canada,"Vehicles weighing 15,000 kilograms or more",Number,units,301574
761,2005,Canada,Buses,Number,units,78962
762,2005,Canada,Motorcycles and mopeds,Number,units,443718
763,2005,Canada,Trailers,Number,units,4722563
764,2005,Canada,"Off-road, construction, farm vehicles",Number,units,1600450
765,2005,Newfoundland and Labrador,"Total, vehicle registrations",Number,units,427856
766,2005,Newfoundland and Labrador,"Total, road motor vehicle registrations",Number,units,266716
767,2005,Newfoundland and Labrador,"Vehicles weighing less than 4,500 kilograms",Number,units,253025
768,2005,Newfoundland and Labrador,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,4028
769,2005,Newfoundland and Labrador,"Vehicles weighing 15,000 kilograms or more",Number,units,3137
770,2005,Newfoundland and Labrador,Buses,Number,units,1273
771,2005,Newfoundland and Labrador,Motorcycles and mopeds,Number,units,5250
772,2005,Newfoundland and Labrador,Trailers,Number,units,31116
773,2005,Newfoundland and Labrador,"Off-road, construction, farm vehicles",Number,units,130023
774,2005,Prince Edward Island,"Total, vehicle registrations",Number,units,94008
775,2005,Prince Edward Island,"Total, road motor vehicle registrations",Number,units,81888
776,2005,Prince Edward Island,"Vehicles weighing less than 4,500 kilograms",Number,units,75929
777,2005,Prince Edward Island,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,1590
778,2005,Prince Edward Island,"Vehicles weighing 15,000 kilograms or more",Number,units,2684
779,2005,Prince Edward Island,Buses,Number,units,60
780,2005,Prince Edward Island,Motorcycles and mopeds,Number,units,1622
781,2005,Prince Edward Island,Trailers,Number,units,10310
782,2005,Prince Edward Island,"Off-road, construction, farm vehicles",Number,units,1810
783,2005,Nova Scotia,"Total, vehicle registrations",Number,units,665426
784,2005,Nova Scotia,"Total, road motor vehicle registrations",Number,units,561325
785,2005,Nova Scotia,"Vehicles weighing less than 4,500 kilograms",Number,units,532253
786,2005,Nova Scotia,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,8946
787,2005,Nova Scotia,"Vehicles weighing 15,000 kilograms or more",Number,units,7870
788,2005,Nova Scotia,Buses,Number,units,1848
789,2005,Nova Scotia,Motorcycles and mopeds,Number,units,10407
790,2005,Nova Scotia,Trailers,Number,units,48121
791,2005,Nova Scotia,"Off-road, construction, farm vehicles",Number,units,55980
792,2005,New Brunswick,"Total, vehicle registrations",Number,units,599376
793,2005,New Brunswick,"Total, road motor vehicle registrations",Number,units,478825
794,2005,New Brunswick,"Vehicles weighing less than 4,500 kilograms",Number,units,450489
795,2005,New Brunswick,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,7640
796,2005,New Brunswick,"Vehicles weighing 15,000 kilograms or more",Number,units,4196
797,2005,New Brunswick,Buses,Number,units,2820
798,2005,New Brunswick,Motorcycles and mopeds,Number,units,13677
799,2005,New Brunswick,Trailers,Number,units,78440
800,2005,New Brunswick,"Off-road, construction, farm vehicles",Number,units,42110
801,2005,Quebec,"Total, vehicle registrations",Number,units,6478106
802,2005,Quebec,"Total, road motor vehicle registrations",Number,units,4524067
803,2005,Quebec,"Vehicles weighing less than 4,500 kilograms",Number,units,4245268
804,2005,Quebec,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,57482
805,2005,Quebec,"Vehicles weighing 15,000 kilograms or more",Number,units,39195
806,2005,Quebec,Buses,Number,units,16791
807,2005,Quebec,Motorcycles and mopeds,Number,units,165329
808,2005,Quebec,Trailers,Number,units,1348714
809,2005,Quebec,"Off-road, construction, farm vehicles",Number,units,605324
810,2005,Ontario,"Total, vehicle registrations",Number,units,9479334
811,2005,Ontario,"Total, road motor vehicle registrations",Number,units,7130323
812,2005,Ontario,"Vehicles weighing less than 4,500 kilograms",Number,units,6775882
813,2005,Ontario,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,88599
814,2005,Ontario,"Vehicles weighing 15,000 kilograms or more",Number,units,111546
815,2005,Ontario,Buses,Number,units,26151
816,2005,Ontario,Motorcycles and mopeds,Number,units,128143
817,2005,Ontario,Trailers,Number,units,1825637
818,2005,Ontario,"Off-road, construction, farm vehicles",Number,units,523373
819,2005,Manitoba,"Total, vehicle registrations",Number,units,875376
820,2005,Manitoba,"Total, road motor vehicle registrations",Number,units,661740
821,2005,Manitoba,"Vehicles weighing less than 4,500 kilograms",Number,units,623382
822,2005,Manitoba,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,10315
823,2005,Manitoba,"Vehicles weighing 15,000 kilograms or more",Number,units,15518
824,2005,Manitoba,Buses,Number,units,3711
825,2005,Manitoba,Motorcycles and mopeds,Number,units,8813
826,2005,Manitoba,Trailers,Number,units,107664
827,2005,Manitoba,"Off-road, construction, farm vehicles",Number,units,105971
828,2005,Saskatchewan,"Total, vehicle registrations",Number,units,855444
829,2005,Saskatchewan,"Total, road motor vehicle registrations",Number,units,730068
830,2005,Saskatchewan,"Vehicles weighing less than 4,500 kilograms",Number,units,657115
831,2005,Saskatchewan,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,38063
832,2005,Saskatchewan,"Vehicles weighing 15,000 kilograms or more",Number,units,25531
833,2005,Saskatchewan,Buses,Number,units,3780
834,2005,Saskatchewan,Motorcycles and mopeds,Number,units,5578
835,2005,Saskatchewan,Trailers,Number,units,121830
836,2005,Saskatchewan,"Off-road, construction, farm vehicles",Number,units,3545
837,2005,Alberta,"Total, vehicle registrations",Number,units,3410034
838,2005,Alberta,"Total, road motor vehicle registrations",Number,units,2478371
839,2005,Alberta,"Vehicles weighing less than 4,500 kilograms",Number,units,2223822
840,2005,Alberta,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,104258
841,2005,Alberta,"Vehicles weighing 15,000 kilograms or more",Number,units,73523
842,2005,Alberta,Buses,Number,units,13271
843,2005,Alberta,Motorcycles and mopeds,Number,units,63496
844,2005,Alberta,Trailers,Number,units,834161
845,2005,Alberta,"Off-road, construction, farm vehicles",Number,units,97501
846,2005,British Columbia,"Total, vehicle registrations",Number,units,2882544
847,2005,British Columbia,"Total, road motor vehicle registrations",Number,units,2546927
848,2005,British Columbia,"Vehicles weighing less than 4,500 kilograms",Number,units,2389628
849,2005,British Columbia,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,92323
850,2005,British Columbia,"Vehicles weighing 15,000 kilograms or more",Number,units,15906
851,2005,British Columbia,Buses,Number,units,8832
852,2005,British Columbia,Motorcycles and mopeds,Number,units,40236
853,2005,British Columbia,Trailers,Number,units,304059
854,2005,British Columbia,"Off-road, construction, farm vehicles",Number,units,31557
855,2005,Yukon,"Total, vehicle registrations",Number,units,38052
856,2005,Yukon,"Total, road motor vehicle registrations",Number,units,28362
857,2005,Yukon,"Vehicles weighing less than 4,500 kilograms",Number,units,24670
858,2005,Yukon,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,1595
859,2005,Yukon,"Vehicles weighing 15,000 kilograms or more",Number,units,1187
860,2005,Yukon,Buses,Number,units,294
861,2005,Yukon,Motorcycles and mopeds,Number,units,615
862,2005,Yukon,Trailers,Number,units,8572
863,2005,Yukon,"Off-road, construction, farm vehicles",Number,units,1118
864,2005,Northwest Territories,"Total, vehicle registrations",Number,units,28212
865,2005,Northwest Territories,"Total, road motor vehicle registrations",Number,units,23184
866,2005,Northwest Territories,"Vehicles weighing less than 4,500 kilograms",Number,units,20725
867,2005,Northwest Territories,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,701
868,2005,Northwest Territories,"Vehicles weighing 15,000 kilograms or more",Number,units,1138
869,2005,Northwest Territories,Buses,Number,units,111
870,2005,Northwest Territories,Motorcycles and mopeds,Number,units,506
871,2005,Northwest Territories,Trailers,Number,units,3864
872,2005,Northwest Territories,"Off-road, construction, farm vehicles",Number,units,1164
873,2005,Nunavut,"Total, vehicle registrations",Number,units,4537
874,2005,Nunavut,"Total, road motor vehicle registrations",Number,units,3497
875,2005,Nunavut,"Vehicles weighing less than 4,500 kilograms",Number,units,3082
876,2005,Nunavut,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,217
877,2005,Nunavut,"Vehicles weighing 15,000 kilograms or more",Number,units,139
878,2005,Nunavut,Buses,Number,units,14
879,2005,Nunavut,Motorcycles and mopeds,Number,units,43
880,2005,Nunavut,Trailers,Number,units,70
881,2005,Nunavut,"Off-road, construction, farm vehicles",Number,units,970
882,2006,Canada,"Total, vehicle registrations",Number,units,26684822
883,2006,Canada,"Total, road motor vehicle registrations",Number,units,20065171
884,2006,Canada,"Vehicles weighing less than 4,500 kilograms",Number,units,18738941
885,2006,Canada,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,442607
886,2006,Canada,"Vehicles weighing 15,000 kilograms or more",Number,units,318272
887,2006,Canada,Buses,Number,units,80447
888,2006,Canada,Motorcycles and mopeds,Number,units,484903
889,2006,Canada,Trailers,Number,units,4961184
890,2006,Canada,"Off-road, construction, farm vehicles",Number,units,1658466
891,2006,Newfoundland and Labrador,"Total, vehicle registrations",Number,units,440980
892,2006,Newfoundland and Labrador,"Total, road motor vehicle registrations",Number,units,272817
893,2006,Newfoundland and Labrador,"Vehicles weighing less than 4,500 kilograms",Number,units,258127
894,2006,Newfoundland and Labrador,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,4086
895,2006,Newfoundland and Labrador,"Vehicles weighing 15,000 kilograms or more",Number,units,3194
896,2006,Newfoundland and Labrador,Buses,Number,units,1214
897,2006,Newfoundland and Labrador,Motorcycles and mopeds,Number,units,6194
898,2006,Newfoundland and Labrador,Trailers,Number,units,32698
899,2006,Newfoundland and Labrador,"Off-road, construction, farm vehicles",Number,units,135464
900,2006,Prince Edward Island,"Total, vehicle registrations",Number,units,95345
901,2006,Prince Edward Island,"Total, road motor vehicle registrations",Number,units,82955
902,2006,Prince Edward Island,"Vehicles weighing less than 4,500 kilograms",Number,units,76675
903,2006,Prince Edward Island,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,1521
904,2006,Prince Edward Island,"Vehicles weighing 15,000 kilograms or more",Number,units,2777
905,2006,Prince Edward Island,Buses,Number,units,68
906,2006,Prince Edward Island,Motorcycles and mopeds,Number,units,1912
907,2006,Prince Edward Island,Trailers,Number,units,10894
908,2006,Prince Edward Island,"Off-road, construction, farm vehicles",Number,units,1494
909,2006,Nova Scotia,"Total, vehicle registrations",Number,units,656269
910,2006,Nova Scotia,"Total, road motor vehicle registrations",Number,units,555453
911,2006,Nova Scotia,"Vehicles weighing less than 4,500 kilograms",Number,units,525214
912,2006,Nova Scotia,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,8606
913,2006,Nova Scotia,"Vehicles weighing 15,000 kilograms or more",Number,units,7675
914,2006,Nova Scotia,Buses,Number,units,1799
915,2006,Nova Scotia,Motorcycles and mopeds,Number,units,12156
916,2006,Nova Scotia,Trailers,Number,units,44792
917,2006,Nova Scotia,"Off-road, construction, farm vehicles",Number,units,56023
918,2006,New Brunswick,"Total, vehicle registrations",Number,units,615706
919,2006,New Brunswick,"Total, road motor vehicle registrations",Number,units,490631
920,2006,New Brunswick,"Vehicles weighing less than 4,500 kilograms",Number,units,459671
921,2006,New Brunswick,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,7828
922,2006,New Brunswick,"Vehicles weighing 15,000 kilograms or more",Number,units,4393
923,2006,New Brunswick,Buses,Number,units,2869
924,2006,New Brunswick,Motorcycles and mopeds,Number,units,15869
925,2006,New Brunswick,Trailers,Number,units,84160
926,2006,New Brunswick,"Off-road, construction, farm vehicles",Number,units,40914
927,2006,Quebec,"Total, vehicle registrations",Number,units,6693156
928,2006,Quebec,"Total, road motor vehicle registrations",Number,units,4663692
929,2006,Quebec,"Vehicles weighing less than 4,500 kilograms",Number,units,4373402
930,2006,Quebec,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,58613
931,2006,Quebec,"Vehicles weighing 15,000 kilograms or more",Number,units,39705
932,2006,Quebec,Buses,Number,units,17173
933,2006,Quebec,Motorcycles and mopeds,Number,units,174797
934,2006,Quebec,Trailers,Number,units,1413037
935,2006,Quebec,"Off-road, construction, farm vehicles",Number,units,616426
936,2006,Ontario,"Total, vehicle registrations",Number,units,9749838
937,2006,Ontario,"Total, road motor vehicle registrations",Number,units,7298384
938,2006,Ontario,"Vehicles weighing less than 4,500 kilograms",Number,units,6918914
939,2006,Ontario,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,94155
940,2006,Ontario,"Vehicles weighing 15,000 kilograms or more",Number,units,117622
941,2006,Ontario,Buses,Number,units,26816
942,2006,Ontario,Motorcycles and mopeds,Number,units,140875
943,2006,Ontario,Trailers,Number,units,1906823
944,2006,Ontario,"Off-road, construction, farm vehicles",Number,units,544630
945,2006,Manitoba,"Total, vehicle registrations",Number,units,896830
946,2006,Manitoba,"Total, road motor vehicle registrations",Number,units,672122
947,2006,Manitoba,"Vehicles weighing less than 4,500 kilograms",Number,units,631516
948,2006,Manitoba,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,10707
949,2006,Manitoba,"Vehicles weighing 15,000 kilograms or more",Number,units,16372
950,2006,Manitoba,Buses,Number,units,3749
951,2006,Manitoba,Motorcycles and mopeds,Number,units,9775
952,2006,Manitoba,Trailers,Number,units,116303
953,2006,Manitoba,"Off-road, construction, farm vehicles",Number,units,108404
954,2006,Saskatchewan,"Total, vehicle registrations",Number,units,874109
955,2006,Saskatchewan,"Total, road motor vehicle registrations",Number,units,738774
956,2006,Saskatchewan,"Vehicles weighing less than 4,500 kilograms",Number,units,665169
957,2006,Saskatchewan,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,37333
958,2006,Saskatchewan,"Vehicles weighing 15,000 kilograms or more",Number,units,26259
959,2006,Saskatchewan,Buses,Number,units,3749
960,2006,Saskatchewan,Motorcycles and mopeds,Number,units,6263
961,2006,Saskatchewan,Trailers,Number,units,131154
962,2006,Saskatchewan,"Off-road, construction, farm vehicles",Number,units,4181
963,2006,Alberta,"Total, vehicle registrations",Number,units,3617981
964,2006,Alberta,"Total, road motor vehicle registrations",Number,units,2618642
965,2006,Alberta,"Vehicles weighing less than 4,500 kilograms",Number,units,2339251
966,2006,Alberta,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,113728
967,2006,Alberta,"Vehicles weighing 15,000 kilograms or more",Number,units,80965
968,2006,Alberta,Buses,Number,units,13577
969,2006,Alberta,Motorcycles and mopeds,Number,units,71119
970,2006,Alberta,Trailers,Number,units,884938
971,2006,Alberta,"Off-road, construction, farm vehicles",Number,units,114401
972,2006,British Columbia,"Total, vehicle registrations",Number,units,2972298
973,2006,British Columbia,"Total, road motor vehicle registrations",Number,units,2616264
974,2006,British Columbia,"Vehicles weighing less than 4,500 kilograms",Number,units,2442248
975,2006,British Columbia,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,103422
976,2006,British Columbia,"Vehicles weighing 15,000 kilograms or more",Number,units,16874
977,2006,British Columbia,Buses,Number,units,9001
978,2006,British Columbia,Motorcycles and mopeds,Number,units,44717
979,2006,British Columbia,Trailers,Number,units,323042
980,2006,British Columbia,"Off-road, construction, farm vehicles",Number,units,32990
981,2006,Yukon,"Total, vehicle registrations",Number,units,39274
982,2006,Yukon,"Total, road motor vehicle registrations",Number,units,28824
983,2006,Yukon,"Vehicles weighing less than 4,500 kilograms",Number,units,24957
984,2006,Yukon,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,1664
985,2006,Yukon,"Vehicles weighing 15,000 kilograms or more",Number,units,1248
986,2006,Yukon,Buses,Number,units,299
987,2006,Yukon,Motorcycles and mopeds,Number,units,653
988,2006,Yukon,Trailers,Number,units,9316
989,2006,Yukon,"Off-road, construction, farm vehicles",Number,units,1134
990,2006,Northwest Territories,"Total, vehicle registrations",Number,units,28120
991,2006,Northwest Territories,"Total, road motor vehicle registrations",Number,units,22944
992,2006,Northwest Territories,"Vehicles weighing less than 4,500 kilograms",Number,units,20574
993,2006,Northwest Territories,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,715
994,2006,Northwest Territories,"Vehicles weighing 15,000 kilograms or more",Number,units,1025
995,2006,Northwest Territories,Buses,Number,units,114
996,2006,Northwest Territories,Motorcycles and mopeds,Number,units,514
997,2006,Northwest Territories,Trailers,Number,units,3957
998,2006,Northwest Territories,"Off-road, construction, farm vehicles",Number,units,1218
999,2006,Nunavut,"Total, vehicle registrations",Number,units,4911
1000,2006,Nunavut,"Total, road motor vehicle registrations",Number,units,3663
1001,2006,Nunavut,"Vehicles weighing less than 4,500 kilograms",Number,units,3217
1002,2006,Nunavut,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,222
1003,2006,Nunavut,"Vehicles weighing 15,000 kilograms or more",Number,units,155
1004,2006,Nunavut,Buses,Number,units,14
1005,2006,Nunavut,Motorcycles and mopeds,Number,units,53
1006,2006,Nunavut,Trailers,Number,units,66
1007,2006,Nunavut,"Off-road, construction, farm vehicles",Number,units,1181
1008,2007,Canada,"Total, vehicle registrations",Number,units,27577524
1009,2007,Canada,"Total, road motor vehicle registrations",Number,units,20593251
1010,2007,Canada,"Vehicles weighing less than 4,500 kilograms",Number,units,19198960
1011,2007,Canada,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,461144
1012,2007,Canada,"Vehicles weighing 15,000 kilograms or more",Number,units,328128
1013,2007,Canada,Buses,Number,units,82583
1014,2007,Canada,Motorcycles and mopeds,Number,units,522433
1015,2007,Canada,Trailers,Number,units,5231114
1016,2007,Canada,"Off-road, construction, farm vehicles",Number,units,1753158
1017,2007,Newfoundland and Labrador,"Total, vehicle registrations",Number,units,464432
1018,2007,Newfoundland and Labrador,"Total, road motor vehicle registrations",Number,units,284433
1019,2007,Newfoundland and Labrador,"Vehicles weighing less than 4,500 kilograms",Number,units,268190
1020,2007,Newfoundland and Labrador,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,4211
1021,2007,Newfoundland and Labrador,"Vehicles weighing 15,000 kilograms or more",Number,units,3331
1022,2007,Newfoundland and Labrador,Buses,Number,units,1239
1023,2007,Newfoundland and Labrador,Motorcycles and mopeds,Number,units,7460
1024,2007,Newfoundland and Labrador,Trailers,Number,units,35422
1025,2007,Newfoundland and Labrador,"Off-road, construction, farm vehicles",Number,units,144575
1026,2007,Prince Edward Island,"Total, vehicle registrations",Number,units,97032
1027,2007,Prince Edward Island,"Total, road motor vehicle registrations",Number,units,84402
1028,2007,Prince Edward Island,"Vehicles weighing less than 4,500 kilograms",Number,units,77873
1029,2007,Prince Edward Island,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,1477
1030,2007,Prince Edward Island,"Vehicles weighing 15,000 kilograms or more",Number,units,2794
1031,2007,Prince Edward Island,Buses,Number,units,92
1032,2007,Prince Edward Island,Motorcycles and mopeds,Number,units,2165
1033,2007,Prince Edward Island,Trailers,Number,units,11322
1034,2007,Prince Edward Island,"Off-road, construction, farm vehicles",Number,units,1308
1035,2007,Nova Scotia,"Total, vehicle registrations",Number,units,684948
1036,2007,Nova Scotia,"Total, road motor vehicle registrations",Number,units,580195
1037,2007,Nova Scotia,"Vehicles weighing less than 4,500 kilograms",Number,units,548111
1038,2007,Nova Scotia,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,8742
1039,2007,Nova Scotia,"Vehicles weighing 15,000 kilograms or more",Number,units,7966
1040,2007,Nova Scotia,Buses,Number,units,1847
1041,2007,Nova Scotia,Motorcycles and mopeds,Number,units,13528
1042,2007,Nova Scotia,Trailers,Number,units,50558
1043,2007,Nova Scotia,"Off-road, construction, farm vehicles",Number,units,54194
1044,2007,New Brunswick,"Total, vehicle registrations",Number,units,632158
1045,2007,New Brunswick,"Total, road motor vehicle registrations",Number,units,502438
1046,2007,New Brunswick,"Vehicles weighing less than 4,500 kilograms",Number,units,471013
1047,2007,New Brunswick,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,7578
1048,2007,New Brunswick,"Vehicles weighing 15,000 kilograms or more",Number,units,4396
1049,2007,New Brunswick,Buses,Number,units,2932
1050,2007,New Brunswick,Motorcycles and mopeds,Number,units,16518
1051,2007,New Brunswick,Trailers,Number,units,87237
1052,2007,New Brunswick,"Off-road, construction, farm vehicles",Number,units,42482
1053,2007,Quebec,"Total, vehicle registrations",Number,units,6875649
1054,2007,Quebec,"Total, road motor vehicle registrations",Number,units,4761117
1055,2007,Quebec,"Vehicles weighing less than 4,500 kilograms",Number,units,4464896
1056,2007,Quebec,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,59297
1057,2007,Quebec,"Vehicles weighing 15,000 kilograms or more",Number,units,38608
1058,2007,Quebec,Buses,Number,units,17478
1059,2007,Quebec,Motorcycles and mopeds,Number,units,180836
1060,2007,Quebec,Trailers,Number,units,1480980
1061,2007,Quebec,"Off-road, construction, farm vehicles",Number,units,633551
